,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-07QSNHD,0,0,6.43346203765749,0,4.82742703381678,7.15555824211688,0,0,0,0,0,0,0,0,0,0,0,6.4537642060317,0,5.67819868380724,0,0,0,0,7.91330870512896,4.24483126627456,0,5.24081927762621,0,18.6897238667577,0,3.98937472633018,7.03565500181937,13.6030715800915,0,0,0,0,0,5.75235041405389,5.75519310508156,4.84144683920429,3.53822002585526,4.3271368089683,5.0373382391115,0,6.47164586317743,0
tRF-16-08P2B5D,4.74553394333466,5.38820052862588,6.43346203765749,0,0,0,0,0,27.0036583742726,0,13.4608606566575,22.1347688310935,0,8.45051360741196,5.64705162450115,4.11559868587897,0,9.68064630904755,0,22.712794735229,0,5.24182911669116,0,4.02677094099658,10.5510782735053,4.24483126627456,0,10.4816385552524,6.44125762571866,6.2299079555859,5.2418224556742,0,0,6.80153579004577,0,0,23.8660881138882,0,0,0,8.63278965762233,7.26217025880644,0,8.65427361793659,0,16.0622315156922,0,0
tRF-16-08Q2B5D,806.740770366892,964.487894624032,929.635264441508,925.174778351492,743.423763207783,701.244707727455,609.214469378291,751.977345903481,999.135359848088,678.925787960202,1359.54692632241,973.929828568113,1291.96985476299,764.771481470782,796.234279054662,604.993006824208,784.76480117024,1284.29907700031,649.906818803588,675.705643373062,1084.03689094085,870.143633370732,867.109557792595,720.791998438389,1184.35853620097,1078.18714163374,644.204651535425,807.086168754436,1326.89907089804,638.565565447554,492.731310833375,773.938696908054,914.635150236518,652.947435844394,625.645892990662,805.822373038781,986.464975374045,778.528989976923,697.37473881676,690.282049686467,1030.1795658096,1023.96600649171,884.555006463815,913.025866692311,977.24361838763,1541.97422550645,834.842316349889,792.15316287817
tRF-16-08R959D,0,0,0,0,0,0,0,6.65466677790691,0,11.0694421950033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03565500181937,0,4.01055059609399,0,0,0,0,0,0,0,3.53822002585526,0,0,0,0,0
tRF-16-0P5830E,4.74553394333466,10.7764010572518,70.7680824142324,0,24.1371351690839,21.4666747263507,37.7389494305136,6.65466677790691,6.75091459356816,40.5879547150121,0,48.6964914284056,27.724674994914,16.9010272148239,39.529361371508,41.1559868587897,28.4335072887768,12.9075284120634,0,28.3909934190362,14.1396116209677,68.143778516985,21.2787621544195,28.1873965869761,58.030930504279,29.7138188639219,54.3305127800961,52.4081927762621,45.0888033800306,6.2299079555859,36.6927571897194,19.9468736316509,21.1069650054581,0,12.031651788282,7.32565793671619,23.8660881138882,8.37127946211746,5.32347128867756,5.75235041405389,8.63278965762233,2.42072341960215,45.9968603361184,43.271368089683,50.373382391115,32.1244630313844,6.47164586317743,5.82465560939831
tRF-16-0RSSX7D,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22525680370598,0,0,0,3.22688210301585,0,0,0,0,0,0,0,0,7.76150182572801,10.4816385552524,0,0,0,0,0,0,0,0,0,8.37127946211746,0,0,5.75519310508156,0,0,4.3271368089683,0,0,0,0
tRF-16-0UQ2B5D,0,0,0,0,0,0,0,0,0,3.6898140650011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11495397779295,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65427361793659,0,0,0,0
tRF-16-113KYUE,0,0,9.65019305648624,0,0,0,0,0,0,0,0,4.4269537662187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-12Z4R90,0,0,0,0,4.82742703381678,14.3111164842338,0,0,13.5018291871363,0,0,0,0,0,5.64705162450115,4.11559868587897,0,0,0,0,0,0,10.6393810772098,0,0,0,0,0,0,0,0,7.97874945266036,0,0,0,3.6628289683581,0,8.37127946211746,0,0,2.87759655254078,2.42072341960215,0,0,0,0,0,11.6493112187966
tRF-16-18WO6VD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98937472633018,3.51782750090968,0,0,0,0,0,0,5.75235041405389,0,0,0,0,0,0,0,0
