Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-16-08Q2B5D,673.06,1764.98,460.84,1230.0,465.91,1635.12,728.71,701.68,1551.83,601.17,1535.35,829.97,1114.53,690.95,772.64,1076.32,1003.85,1238.31,988.41,821.09,459.37,900.85,1387.65,916.76,-0.09866641923274984,0.6464618318172002
tRF-16-0P5830E,51.24,0.0,28.55,10.88,27.85,35.09,16.1,47.73,0.0,25.26,37.68,32.46,94.0,44.87,57.54,27.74,19.3,11.26,7.55,6.84,23.89,42.69,10.76,6.74,-0.11854801249430391,0.5811452244835662
tRF-16-3JWB61B,23.29,52.43,36.7,32.65,35.45,56.14,20.13,71.6,49.01,45.47,18.84,55.64,40.28,8.97,16.44,49.93,70.78,50.66,105.63,34.21,14.7,34.16,64.54,60.67,-0.0043591645103957175,0.9838715109533491
tRF-16-3KMB01B,158.37,515.51,154.97,380.97,151.93,364.92,269.74,195.71,326.7,136.4,508.64,231.84,147.71,134.6,452.08,260.76,199.48,416.52,331.99,225.8,130.46,209.2,419.52,202.23,-0.13515137586057505,0.5289185378852219
tRF-16-3KXR3RB,65.21,148.54,89.72,141.5,65.83,168.42,120.78,133.65,98.01,90.93,226.06,97.37,94.0,53.84,164.39,122.06,102.96,140.72,113.18,75.27,36.75,123.81,118.33,208.97,0.06011522910303305,0.7802188633225358
tRF-16-3VLIE1B,27.95,26.21,16.31,32.65,15.19,70.18,36.23,42.96,65.34,10.1,65.94,37.09,0.0,8.97,0.0,33.29,83.65,28.14,52.82,13.68,18.37,51.23,10.76,47.19,-0.012060775027974618,0.9553950966630553
tRF-16-489B3RB,37.26,384.45,61.17,152.39,50.64,196.5,88.57,71.6,212.36,75.78,178.97,125.19,120.85,76.27,189.05,105.41,128.7,135.09,203.72,61.58,49.61,106.74,193.63,182.0,-0.02713939427401827,0.8998265493675114
tRF-16-73FJQ4D,16.3,87.38,4.08,10.88,10.13,14.04,16.1,9.55,49.01,25.26,9.42,27.82,53.71,44.87,41.1,22.19,57.91,28.14,52.82,34.21,1.84,51.23,32.27,13.48,-0.1595138674772444,0.4565586865292558
tRF-16-7P596VE,16.3,8.74,4.08,21.77,12.66,28.07,12.08,0.0,81.68,0.0,28.26,37.09,26.86,4.49,16.44,11.1,0.0,39.4,22.64,34.21,7.35,17.08,21.51,20.22,-0.11123457687531084,0.6048379950124484
tRF-16-884U1DD,121.1,393.19,256.93,653.1,113.94,182.46,221.43,229.12,669.74,191.97,565.16,370.94,187.99,157.03,320.56,321.79,160.87,191.38,535.7,328.43,115.76,298.86,537.85,357.27,-0.010332360781192068,0.961782439272381
tRF-16-8871K9D,272.48,751.43,281.4,587.79,225.36,708.79,358.32,405.73,882.09,313.22,593.42,347.75,563.98,448.67,731.54,477.13,604.88,675.44,565.88,561.08,218.66,290.32,742.23,492.09,-0.19411101392434715,0.3634197520869249
tRF-16-8S68L5D,9.32,34.95,12.23,54.42,15.19,42.11,16.1,33.41,130.68,5.05,47.1,32.46,13.43,4.49,57.54,27.74,38.61,39.4,83.0,6.84,16.54,34.16,0.0,6.74,-0.29106264632850526,0.1676230790408723
tRF-16-8SPOL5D,18.63,17.48,28.55,21.77,2.53,14.04,4.03,9.55,0.0,0.0,28.26,18.55,0.0,4.49,24.66,27.74,0.0,22.51,7.55,34.21,0.0,0.0,32.27,26.96,-0.018887302609260172,0.9301973932199887
