"","Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq","Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq","Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq"
"tRF-16-08Q2B5D",1039.19863235444,842.589997618894,962.807825036192,736.472047772377,859.073246487076,594.041419299218,801.228102130643,1262.59965608153,627.340398806764,1408.34386770477,894.295456959283,1266.08115577037,769.37547297439,797.816126462055,665.306922301183,886.303236663032,1308.28853875741,827.252599903848,659.064788573624,1038.00001345033,905.494803376501,920.1657212677,698.718103376732,937.433112278684,1013.34577452611,914.128318733426,849.197393904085,1219.94928676023,683.186019403386,492.516718949781,685.095696206415,836.165920413641,770.626609395089,644.862281738735,811.733131411735,1048.97669166522,963.360518488092,704.497724519925,769.227304754231,839.55518815511,823.944015069164,814.904197136326,942.602824390536,965.219446808149,1834.33445287928,911.837249170861,757.997321843758
"tRF-16-3JWB61B",81.2781053238111,29.1553632394081,28.5982522287978,62.1697183184474,149.022910104901,47.313033395513,21.2715425344418,93.8418663303836,47.7324216483407,74.3679930141135,93.4945250457432,43.4705976230171,21.2534661042649,118.823678409242,67.8884614593044,102.759795555134,121.624813904584,26.1237663127531,49.8452361106102,72.2086965878491,70.9122436379187,11.2903769480699,46.8414370978815,121.093809603928,151.602911149575,33.0407826048226,11.0285375831699,35.5325034978709,29.993532559173,10.4790791265911,31.7827900301945,57.8884098747905,32.1094420581287,45.4710583277313,33.2072644668437,50.7569366934784,41.4348610102405,75.2898331548012,32.051137698093,46.9025244779391,97.3929095826436,26.0769343083624,35.7384957114895,74.6303695985682,124.199728580368,42.4110348451563,50.1615874749546
"tRF-16-3KMB01B",203.195263309528,198.256470027975,281.216146916512,382.582881959676,333.110034352132,199.766141003277,248.167996235155,375.367465321534,204.567521350032,404.375962014242,662.591634019832,282.558884549611,284.79644579715,254.622168019805,185.561794655432,199.097103888072,506.222198413673,174.158442085021,149.535708331831,365.556526475986,267.284610635232,304.840177597888,195.172654574506,469.7604682911,450.819183155315,121.149536217683,165.428063747549,272.415860150344,99.9784418639101,288.174675981255,165.976792379905,183.313297936837,128.437768232515,128.145709832697,273.037507838493,372.217535752175,362.555033839604,236.625189915089,211.537508807414,274.379768195944,453.850958655119,231.432791986717,218.898286232873,328.3736262337,382.153011016516,275.671726493516,167.205291583182
"tRF-16-3KXR3RB",162.556210647622,81.6350170703427,81.0283813149271,81.2988624164312,140.256856569319,115.654081633476,92.1766843159147,307.118835263074,88.6459259183471,125.495988211316,113.819421794818,130.411792869051,127.52079662559,203.697734415844,126.725128057368,70.6473594441547,111.763342506915,52.2475326255062,99.6904722212204,94.7739142715519,87.2766075543615,135.484523376839,81.9725149212926,54.283431891416,83.7805561616072,77.0951594112528,66.1712254990196,88.8312587446773,59.9870651183461,104.790791265911,77.6912645182532,131.85693360369,40.1368025726609,66.1397212039728,92.2424012967881,169.189788978261,176.098159293522,80.6676783801441,70.5125029358045,93.8050489558783,124.662924265784,65.1923357709061,129.55204695415,79.6057275718061,162.415029682019,77.7535638827866,172.778801302621
"tRF-16-489B3RB",116.111579034016,46.648581183053,209.720516344517,114.774864587903,184.087124247231,78.8550556591883,99.267198494062,196.214811418075,68.1891737833439,204.511980788812,199.183988140931,152.14709168056,93.5152508587657,186.722923214524,67.8884614593044,147.717206110505,197.229427953379,113.202987355263,83.0753935176837,135.391306102217,152.734063220133,107.258581006664,105.393233470233,121.093809603928,107.717857922066,99.1223478144679,93.7425694569444,159.896265740419,99.9784418639101,120.509409955798,67.0970011748551,118.992842520403,208.711373377837,82.674651504966,88.5527052449166,93.0543839380437,82.869722020481,145.201821084259,57.6920478565673,154.778330777199,261.012997681485,88.0096532907232,111.682799098405,129.359307304185,210.184156059084,127.233104535469,150.484762424864
"tRF-16-884U1DD",760.530842672804,151.607888844922,214.486891715983,1085.57892756058,1244.7796020527,331.191233768591,425.430850688837,460.67825289461,153.425641012524,436.911958957917,402.432955631677,141.279442274805,233.788127146914,322.521412825086,217.243076669774,237.632027221248,562.10386966713,357.024806274292,210.457663578132,582.182616239533,823.672983794287,338.711308442098,312.27624731921,352.842307294204,390.975928754167,154.190318822506,192.999407705474,763.948825204225,293.270096134136,204.342042968526,204.822424639031,414.866937435999,393.340665212077,103.343314381208,125.449665763632,651.380687566306,600.805484648487,381.827010999349,307.690921901692,363.494564704028,373.988772797351,205.355857678354,312.711837475533,820.93406558425,964.936352816703,353.425290376303,295.396015130288
"tRF-16-8871K9D",499.279789846268,341.117749901075,409.908281946102,253.461159298286,376.940302030044,362.733256032266,382.887765619953,520.395804195764,303.44182333588,395.079962887478,337.393286034639,548.81629499059,378.311696655916,282.913520022005,384.701281602725,314.701873887598,368.161598846307,470.227793629555,343.378293206426,361.043482939245,294.55855049597,355.646873864203,292.758981861759,260.9780379395,371.028177287118,462.570956467517,551.426879158497,414.545874141827,236.615645744587,466.319021133304,303.702215844081,334.466368165456,288.984978523158,388.57086207334,442.763526224583,338.379577956522,372.913749092164,403.338391900721,525.638658248724,293.14077798712,298.022303322889,387.894397836891,303.777213547661,427.880785698458,726.090720931381,487.726900719298,406.866209519076
"tRF-16-8Y3DUVD",46.4446316136063,29.1553632394081,38.1310029717304,28.6937161469757,61.3623747490769,57.827040816738,35.4525708907364,93.8418663303836,34.094586891672,37.1839965070567,77.2346076464835,48.9044223258942,25.5041593251179,39.6078928030807,22.6294871531015,0,69.0302997836826,8.70792210425103,83.0753935176837,58.6695659776274,65.4574556657711,33.8711308442098,27.3241716404309,43.844310373836,51.8641538143283,0,0,35.5325034978709,43.323991474361,73.3535538861376,60.034158945923,90.0486375830075,32.1094420581287,41.337325752483,33.2072644668437,76.1354050402175,51.7935762628006,43.0227618027435,89.7431855546603,51.592776925733,81.8100440494206,39.1154014625436,40.2058076754257,39.802863785903,57.3229516524774,77.7535638827866,39.0145680360758
"tRF-16-9N1EWJ0",644.419263638788,577.276192140281,476.63753714663,602.56803908649,1034.39431719872,341.705241189816,446.702393223279,332.712071534996,231.843190863369,418.319960704388,447.147728479641,423.838326824416,365.559616993357,684.650718453253,439.012050770168,385.349233331753,772.481926150734,618.262469401823,359.993371909963,577.669572702792,474.566553576841,570.164035877532,761.173352840574,484.375238415712,754.025005454465,671.82924629806,512.826997617402,550.753804216999,719.844781420153,377.246848557279,667.438590634085,247.633753353271,401.368025726609,384.437129498092,527.626535417628,558.326303628262,517.935762628006,473.250379830179,499.99774809025,288.450525539326,738.238254636438,397.673248202527,419.927324610002,562.21545097588,401.260661567342,445.315865874141,858.320496793667
"tRF-16-JMRPFQD",87.0836842755119,72.8884080985203,38.1310029717304,90.8634344654232,61.3623747490769,42.0560296849004,70.9051417814728,17.0621575146152,37.5040455808391,51.127995197203,32.5198347985194,43.4705976230171,55.2590118710888,67.8992448052813,85.9920511817856,64.2248722219588,78.8917711813516,78.3712989382592,16.6150787035367,27.0782612204434,43.6383037771808,62.0970732143847,97.586327287253,79.337323533608,23.9373017604592,33.0407826048226,49.6284191242647,47.3766713304945,83.3153682199251,20.9581582531822,49.4398956025248,6.43204554164339,8.02736051453218,49.6047909029796,55.3454407780729,42.2974472445653,31.0761457576804,86.0455236054871,12.8204550792372,49.2476507018361,116.871491499172,26.0769343083624,49.1404316032981,34.8275058126652,85.9844274787161,63.6165522677345,50.1615874749546
