,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-08Q2B5D,465.715289250823,673.394397079006,1767.89777699982,435.650958714999,1142.47076790357,461.100275027952,1231.45998844825,2068.74379726311,466.209916082215,1449.33775309599,770.953283735339,1636.84517411677,729.227099851737,549.699030034619,702.220353880842,692.972853541694,1239.27312583293,1554.26851215602,601.58738183105,959.188609843777,769.780102575517,1537.59079332138,830.711255905475,297.178590433629,560.499771607377,1115.96638655462,691.3859594776,1188.25816350663,404.87429146999,773.719864022849,1077.46650967498,668.328920648793,689.679945400338,1005.23236332706,1239.9535581031,783.16448980623,1253.53821269713,989.411036087068,821.777092963534,518.573777259526,694.585842928361,459.540239181504,901.690134826179,753.193306673914,2094.9263502455,1389.35260476688,917.678812415655
tRF-16-0P5830E,5.20352278492539,51.261857217087,0.0,14.1445116465909,34.9735949358234,28.563733851289,10.8978760039668,13.9779986301561,27.8712449831759,0.0,38.5476641867669,35.1254329209608,16.1155160188229,27.2900227676761,47.7700921007376,25.107712084844,12.4550062897782,0.0,25.2767807492038,12.511155780571,60.2839839366369,37.7322894066597,32.4859150354096,14.5610890635631,15.4468440994159,94.1176470588235,44.8951921738701,40.3777045851768,3.9499930875121,57.6174366825526,27.7697554039944,15.4229750918952,0.0,19.3313916024435,11.2723050736645,18.947527979183,13.4789055128724,7.55275600066464,6.84814244136278,4.34559031223066,1.64204690999612,23.8960924374382,42.7341296126151,38.8243972512327,43.6442989634479,10.770175230751,6.7476383265857
tRF-16-3JWB61B,36.4246594944778,23.300844189585,52.5118151584106,36.7757302811363,198.183704636333,36.724800665943,32.6936280119005,153.757984931717,35.4724936149511,76.5326866321313,80.5996614814218,56.2006926735372,20.1443950235287,81.8700683030284,71.6551381511064,80.3446786715007,115.208808180448,49.0821635417689,45.4982053485668,66.7261641630454,60.2839839366369,18.8661447033299,55.6901400607023,38.3883257130301,83.8542965396863,40.3361344537815,8.97903843477402,34.6094610730087,17.7749688938044,16.4621247664436,49.9855597271899,46.2689252756857,28.7366643916807,70.8817692089595,50.7253728314903,37.895055958366,53.9156220514894,105.738584009305,34.2407122068139,28.9706020815378,82.1023454998062,14.7052876538081,34.1873036900921,58.236595876849,141.843971631206,64.621051384506,60.7287449392713
tRF-16-3KMB01B,91.0616487361944,158.445740489178,516.366182391038,226.312186345454,442.998869187097,155.060269478426,381.425660138839,615.03193972687,152.024972635505,416.146483562214,571.206296585728,365.304502377992,269.934893315284,175.435860649347,195.857377613024,155.667814926033,479.51774215646,327.214423611793,136.4946160457,337.801206075417,227.224247145785,509.385906989907,232.042250252926,148.920229059168,249.356197604857,147.899159663866,134.68557652161,265.339201559733,59.2498963126815,452.708431077199,261.035700797547,146.518263373005,114.946657566723,199.757713225249,417.075287725587,277.897077028017,471.761692950532,332.321264029244,225.988700564972,169.478022176996,382.596930029097,130.509427927547,209.397235101814,256.241021858136,436.442989634479,420.036833999289,202.429149797571
tRF-16-3KXR3RB,72.8493189889555,65.242363730838,148.783476282163,48.091339598409,186.525839657725,89.7717349611941,141.672388051569,503.207950685621,65.8774881420521,129.148908691722,98.1213270208613,168.602078020612,120.866370141172,140.348688519477,133.756257882065,55.2369665866568,105.867553463114,98.1643270835378,90.9964106971336,87.5780904639971,74.1956725373993,226.393736439958,97.4577451062289,17.2085598023928,46.3405322982477,94.1176470588235,53.8742306086441,86.5236526825216,35.5499377876089,164.621247664436,122.186923777575,105.390329794617,35.9208304896009,103.100755213032,140.903813420806,126.316853194553,229.14139371883,113.29134000997,75.3295668549906,57.9412041630755,105.091002239752,36.7632191345203,123.928975876584,62.1190356019723,185.488270594654,118.471927538261,209.176788124157
tRF-16-3VLIE1B,15.6105683547762,27.961013027502,26.2559075792053,11.3156093172727,93.2629198288625,16.322133629308,32.6936280119005,167.735983561874,15.2024972635505,38.2663433160656,87.6083276971976,70.2508658419215,36.2599110423516,42.8843214920625,42.9930828906638,25.107712084844,46.7062735866682,65.4428847223586,10.1107122996815,45.8742378620937,60.2839839366369,66.0315064616546,37.1267600404682,8.60427990119639,13.2401520852136,0.0,8.97903843477402,40.3777045851768,7.89998617502419,0.0,33.3237064847933,59.1214045189317,28.7366643916807,83.7693636105884,28.1807626841613,31.5792132986383,80.8734330772341,52.8692920046525,13.6962848827256,15.9338311448458,64.0398294898489,18.3816095672601,51.2809555351381,38.8243972512327,43.6442989634479,10.770175230751,47.2334682860999
tRF-16-489B3RB,52.0352278492539,37.281350703336,385.086644495011,67.8936559036363,244.815164550764,61.2080011099051,152.570264055536,321.493968493591,50.6749908785016,210.464888238361,171.712322286507,196.70242435738,88.6353381035261,128.652964476188,71.6551381511064,115.495475590282,186.825094346673,212.689375347665,75.8303422476113,125.11155780571,129.842426940449,179.228374681634,125.30281513658,38.3883257130301,59.5806843834613,121.008403361345,76.3218266955792,155.742574828539,59.2498963126815,189.314434814101,105.525070535179,95.1083464000206,186.788318545925,128.87594401629,135.267660883974,69.4742692570043,107.831244102979,203.924412017945,61.633281972265,95.6029868690746,220.034285939481,49.6303458316024,106.835324031538,100.943432853205,240.043644298963,193.863154153518,182.186234817814
tRF-16-73FJQ4D,2.6017613924627,16.3105909327095,87.5196919306844,8.48670698795453,0.0,4.08053340732701,10.8978760039668,41.9339958904684,10.1349981757003,14.3498787435246,7.00866621577581,14.0501731683843,16.1155160188229,15.5942987243864,9.55401842014751,5.0215424169688,37.3650188693345,49.0821635417689,25.2767807492038,8.34077052038067,32.4606067351122,9.43307235166494,27.8450700303511,3.97120610824449,4.41338402840454,53.781512605042,44.8951921738701,0.0,9.87498271878024,41.155311916109,22.2158043231955,20.5639667891936,7.18416609792018,57.9941748073305,28.1807626841613,18.947527979183,13.4789055128724,52.8692920046525,34.2407122068139,10.1397107285382,26.272750559938,1.83816095672601,51.2809555351381,31.0595178009861,0.0,32.310525692253,13.4952766531714
tRF-16-7P596VE,5.20352278492539,16.3105909327095,8.75196919306844,16.9734139759091,11.6578649786078,4.08053340732701,21.7957520079337,27.9559972603123,12.6687477196254,38.2663433160656,14.0173324315516,28.1003463367686,12.0866370141172,15.5942987243864,0.0,65.2800514205944,12.4550062897782,81.8036059029482,0.0,4.17038526019034,13.9116886007624,28.2992170549948,37.1267600404682,3.30933842353707,13.2401520852136,26.890756302521,4.48951921738701,5.76824351216811,7.89998617502419,16.4621247664436,11.1079021615978,2.5704958486492,7.18416609792018,0.0,39.4530677578258,12.6316853194553,94.3523385901065,22.6582680019939,34.2407122068139,11.5882408326151,11.4943283699729,7.35264382690406,17.093651845046,7.76487945024653,0.0,21.540350461502,20.2429149797571
tRF-16-884U1DD,340.830742412613,121.164389785842,393.83861368808,642.160828755226,1655.41682696231,257.073604661601,653.87256023801,754.811926028431,114.018729476629,449.629533963771,346.928977680902,182.652251188996,221.588345258815,222.218756822506,229.29644208354,185.797069427845,532.451518888017,670.789568404175,192.103533693949,537.979698564553,700.221659571706,565.984341099896,371.267600404682,111.855638715553,216.255817391822,188.235294117647,157.133172608545,744.103413069686,173.799695850532,321.01143294565,322.129162686335,331.593964475747,352.024138798089,161.094930020362,191.629186252297,486.31988479903,781.776519746597,536.24567604719,328.710837185413,224.522166131918,315.273006719256,115.804140273739,299.138907288306,640.602554645339,1102.01854882706,538.50876153755,357.624831309042
tRF-16-8871K9D,223.751479751792,272.619877018144,752.669350603886,149.931823453863,501.288194080136,281.556805105563,588.485304214209,852.657916439524,225.503709409332,406.579897733197,290.859647954696,709.533745003407,358.57023141881,194.92873405483,406.045782856269,246.055578431471,348.740176113789,883.47894375184,313.432081290127,333.630820815227,250.410394813723,594.283558154891,348.063375379389,82.7334605884268,205.222357320811,564.705882352941,448.951921738701,403.777045851768,140.224754606679,732.56455210674,477.639792948704,267.331568259517,258.629979525127,605.716936876563,676.338304419871,252.633706389106,485.240598463405,566.456700049848,561.547680191748,181.066263009611,251.233177229407,218.741153850396,290.592081365783,333.889816360601,829.24168030551,743.142090921819,492.577597840756
tRF-16-8S68L5D,10.4070455698508,9.320337675834,35.0078767722738,11.3156093172727,11.6578649786078,12.241600221981,54.4893800198341,83.8679917809368,15.2024972635505,4.78329291450821,10.5129993236637,42.1505195051529,16.1155160188229,19.492873405483,33.4390644705163,25.107712084844,31.1375157244454,130.885769444717,5.05535614984076,33.3630820815227,18.5489181343498,47.1653617583247,32.4859150354096,13.2373536941483,15.4468440994159,13.4453781512605,4.48951921738701,5.76824351216811,9.87498271878024,57.6174366825526,27.7697554039944,23.1344626378428,21.5524982937606,38.662783204887,39.4530677578258,6.31584265972766,40.4367165386171,83.0803160073111,6.84814244136278,1.44853010407689,26.272750559938,16.5434486105341,34.1873036900921,11.6473191753698,21.822149481724,0.0,6.7476383265857
tRF-16-8Y3DUVD,20.8140911397016,23.300844189585,70.0157535445475,16.9734139759091,81.6050548502547,44.8858674805971,54.4893800198341,153.757984931717,25.3374954392508,38.2663433160656,66.5823290498702,63.2257792577294,24.1732740282344,27.2900227676761,23.8850460503688,0.0,65.3887830213354,16.3607211805896,75.8303422476113,54.2150083824744,55.6467544030494,56.5984341099896,32.4859150354096,13.8992213788557,28.6869961846295,0.0,0.0,34.6094610730087,25.6749550688286,115.234873365105,94.417168373581,71.9738837621777,28.7366643916807,64.437972008145,50.7253728314903,56.842583937549,67.3945275643618,60.4220480053171,95.8739941790789,31.8676622896915,68.9659702198372,22.0579314807122,38.4607166513536,31.0595178009861,65.4664484451718,118.471927538261,47.2334682860999
