"","Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq","Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq","Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq"
"tRF-16-07QSNHD",0,0,4.66739011213405,0,2.84244336431597,11.6937181346181,0,0,0,0,0,0,0,0,0,0,0,6.24906264060391,0,5.06616410318763,0,0,0,0,1.9903402154875,2.2099398675362,0,4.4987291090267,0,11.9704091485847,0,5.57398065828712,5.16198302739981,14.403618188889,0,0,0,0,0,6.8683205582571,2.91462339422467,3.29058317360294,1.84046482779691,4.28452685969888,3.89836190832612,0,10.8149029362461,0
"tRF-16-08P2B5D",5.10480157636273,2.60440404724389,4.66739011213405,0,0,0,0,0,56.1679421470196,0,14.4196106705119,17.5559332031853,0,8.07578314907088,3.90486194360598,4.79021263753898,0,9.37359396090586,0,20.2646564127505,0,4.6486546793358,0,4.65425841373565,2.65378695398333,2.2099398675362,0,8.9974582180534,5.7814830660361,3.99013638286157,8.26617069642488,0,0,7.20180909444452,0,0,18.976652392007,0,0,0,4.37193509133701,4.93587476040441,0,8.56905371939777,0,21.8823168997133,0,0
"tRF-16-08Q2B5D",867.816267981663,466.188324456656,674.43787120337,1775.41836591197,437.736278104659,1145.98437719257,461.978740801308,1236.39148749932,2078.21385943972,467.718524958121,1456.3806777217,772.461060940155,1641.55024341442,730.858374990915,550.585534048444,704.16125771823,695.746869139089,1243.56346548018,1562.39721070982,602.873528279328,961.827974975745,771.676676769743,1544.02849348287,833.112256058681,297.887585584629,561.324726354196,1120.54650267986,692.804282790112,1190.98551160344,408.988979243311,777.020045463939,1081.3522477077,671.057793561975,691.373673066674,1009.59111559818,1244.66773029182,784.368298869624,1257.5214657562,992.048466489966,824.198466990851,521.717587566217,695.958341217022,460.116206949227,904.035167396464,756.282210215268,2100.70242237248,1395.12247877575,920.037883912867
"tRF-16-0P5830E",5.10480157636273,5.20880809448778,51.3412912334745,0,14.2122168215798,35.0811544038542,28.6181520850368,10.9415175884895,14.0419855367549,27.961433557279,0,38.6230530470078,35.2264000732709,16.1515662981418,27.3340336052419,47.9021263753898,25.2082198963438,12.4981252812078,0,25.3308205159382,12.5455822822923,60.4325108313654,37.8902697787208,32.5798088961495,14.5958282469083,15.4695790727534,94.5039219127594,44.987291090267,40.4703814622527,3.99013638286157,57.8631948749742,27.8699032914356,15.4859490821994,0,19.4152137615035,11.3151611844711,18.976652392007,13.5217361909269,7.57288905717531,6.8683205582571,4.37193509133701,1.64529158680147,23.9260427613598,42.8452685969888,38.9836190832612,43.7646337994267,10.8149029362461,6.76498444053579
"tRF-16-12Z4R90",0,0,0,0,2.84244336431597,23.3874362692362,0,0,28.0839710735098,0,0,0,0,0,3.90486194360598,4.79021263753898,0,0,0,0,0,0,18.9451348893604,0,0,0,0,0,0,0,0,11.1479613165742,0,0,0,5.65758059223554,0,13.5217361909269,0,0,1.45731169711234,1.64529158680147,0,0,0,0,0,13.5299688810716
"tRF-16-1EWJQ7D",10.2096031527255,0,9.33478022426809,0,0,0,4.08830744071954,0,0,12.7097425260359,0,7.02237328127414,7.04528001465418,20.1894578726772,0,0,10.0832879585375,0,16.4462864285244,0,0,4.6486546793358,0,0,0.663446738495834,2.2099398675362,27.0011205465027,4.4987291090267,0,0,0,16.7219419748613,10.3239660547996,7.20180909444452,12.9434758410023,5.65758059223554,6.32555079733568,0,0,13.7366411165142,0,19.7434990416176,11.0427889667815,8.56905371939777,3.89836190832612,0,10.8149029362461,0
"tRF-16-1PW4PU0",0,0,2.33369505606702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18186076076411,9.2973093586716,0,4.65425841373565,2.65378695398333,0,0,0,0,0,16.5323413928498,0,0,0,0,0,0,0,15.1457781143506,6.8683205582571,4.37193509133701,0,0,0,0,0,0,0
"tRF-16-1SS2P40",15.3144047290882,0,0,0,0,11.6937181346181,0,10.9415175884895,14.0419855367549,0,14.4196106705119,3.51118664063707,0,0,0,14.3706379126169,0,6.24906264060391,0,5.06616410318763,4.18186076076411,0,0,0,1.32689347699167,0,13.5005602732513,0,0,0,16.5323413928498,5.57398065828712,0,0,0,16.9727417767066,0,0,0,6.8683205582571,1.45731169711234,1.64529158680147,1.84046482779691,0,3.89836190832612,21.8823168997133,10.8149029362461,0
"tRF-16-1SS2PMB",0,5.20880809448778,0,0,0,0,0,0,0,0,0,3.51118664063707,0,8.07578314907088,11.714585830818,0,0,0,0,0,4.18186076076411,0,0,9.30851682747129,1.32689347699167,0,0,0,5.7814830660361,1.99506819143078,0,0,0,0,0,11.3151611844711,0,0,15.1457781143506,0,4.37193509133701,1.64529158680147,5.52139448339073,8.56905371939777,0,0,0,0
"tRF-16-23W8WR0",0,0,0,0,14.2122168215798,0,0,0,0,12.7097425260359,0,0,0,0,0,4.79021263753898,0,0,16.4462864285244,0,16.7274430430564,9.2973093586716,0,13.9627752412069,2.65378695398333,2.2099398675362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6950857249784,0,0,0
