logFC,logCPM,LR,PValue,FDR,transcript
1.548679489,8.035252465,27.23024819,1.81E-07,7.19E-05,tRF-29-PSQP4PW3FJFL
1.355778587,10.71688508,21.98742547,2.74E-06,0.000546141,tRF-30-R9J89O9NF5W8
1.299853351,8.249884744,19.65173418,9.29E-06,0.001179765,tRF-29-79MP9P9NH52Q
1.316848967,7.026317242,19.18617009,1.19E-05,0.001179765,tRF-28-PIR8YP9LOND5
1.243748992,8.244169018,18.03580312,2.17E-05,0.001725642,tRF-29-RRJ89O9NF5JP
1.158160702,8.806874084,15.94624006,6.52E-05,0.003864145,tRF-28-86J8WPMN1E0J
1.156680469,8.572747259,15.83958019,6.89E-05,0.003864145,tRF-28-86V8WPMN1E0J
1.189320495,6.883526859,15.61414824,7.77E-05,0.003864145,tRF-28-PER8YP9LOND5
1.105607222,10.74461452,14.80982411,0.000118914,0.00525866,tRF-28-P4R8YP9LOND5
1.076083846,8.597202307,13.75651582,0.000208098,0.008282289,tRF-30-RRJ89O9NF5W8
1.02786361,10.23287756,12.81815845,0.000343271,0.012420184,tRF-31-86V8WPMN1E8Y0
1.016677595,9.770215745,12.51072628,0.000404622,0.013419972,tRF-30-86J8WPMN1E8Y
0.998431091,10.46501453,12.12639,0.000497133,0.015219906,tRF-31-86J8WPMN1E8Y0
0.987177431,8.970756729,11.68419862,0.000630331,0.017919418,tRF-29-P4R8YP9LONHK
0.969850994,9.066049366,11.32610346,0.000764251,0.019010743,tRF-30-86V8WPMN1E8Y
0.97183989,9.010068359,11.35573653,0.000752153,0.019010743,tRF-31-XSXMSL73VL4YD
1.007703473,6.314834173,10.67727152,0.001084599,0.025392381,tRF-29-XSXMSL73VLH3
0.896708656,13.66788471,9.886141486,0.001665282,0.033139111,tRF-31-6SXMSL73VL4YD
-0.91112343,8.321024662,9.966937988,0.001593763,0.033139111,tRF-34-87R8WP9I1EWJIQ
0.978116861,6.196860233,10.06104832,0.00151437,0.033139111,tRF-25-PS5P4PW3FJ
0.887942369,10.48391916,9.637250313,0.001906705,0.036136592,tRF-30-PW5SVP9N15WV
0.844326923,10.27402617,8.715258287,0.003155577,0.052329987,tRF-30-PSQP4PW3FJI0
0.874403455,7.292431923,8.832740665,0.002958737,0.052329987,tRF-31-FSXMSL73VL4YD
-0.896757298,6.501322443,8.722732954,0.003142666,0.052329987,tRF-17-W96KM8N
0.87429001,6.411482826,8.301285913,0.003961702,0.063070292,tRF-27-Q1Q89P9L842
0.814573471,10.83466568,8.141936215,0.004325307,0.066210474,tRF-29-86V8WPMN1EJ3
0.835623671,6.68506273,7.774436912,0.005299073,0.078112264,tRF-31-6978WPRLXN48E
0.789811207,10.09951837,7.634003885,0.005727801,0.081416599,tRF-28-PSQP4PW3FJD0
0.7641674,11.48659801,7.193482124,0.007316886,0.093639438,tRF-29-86J8WPMN1EJ3
0.796319102,7.21540301,7.221709227,0.007202709,0.093639438,tRF-33-OUR8309NDJ58W
-0.816237947,6.487468363,7.271994938,0.007003797,0.093639438,tRF-18-I958M80E
0.806689744,6.451368393,7.142265401,0.007528799,0.093639438,tRF-34-897PVP9N1QKS1P
-0.777809818,6.809435594,6.767380352,0.009283901,0.111969473,tRF-17-W9RKM8N
-0.779789989,6.365300414,6.538849542,0.010554358,0.123548075,tRF-16-NS5J7KE
-0.756086201,6.666565156,6.41778021,0.01129833,0.128478153,tRF-23-YU8R6Q46D2
0.691255758,10.35288232,5.871730438,0.015385921,0.163540901,tRF-33-6978WPRLXN4V0Q
-0.715503528,7.223654594,5.899922399,0.015141552,0.163540901,tRF-35-9EYK46S9Y81H93
0.731161368,6.387332486,5.845779236,0.015614458,0.163540901,tRF-31-R9JP9PMNH5SYD
0.687006868,9.773944831,5.783084755,0.016181119,0.165130392,tRF-32-XSXMSL73VL4YK
0.661420641,12.67078737,5.418887155,0.019920053,0.198204523,tRF-31-PSQP4PW3FJI0B
0.722064659,5.883682909,5.336617634,0.020881952,0.20270773,tRF-19-PS5P4PJ4
0.706139975,6.148455481,5.263413099,0.021778269,0.206375028,tRF-28-PS5P4PW3FJDD
0.692406263,6.408072811,5.188998456,0.022730312,0.21038754,tRF-41-PSQP4PW3FJI0E7UME
0.64583868,9.124550137,5.083475763,0.0241549,0.218492054,tRF-32-86J8WPMN1E8YN
0.62236081,12.47002067,4.802207754,0.028423291,0.251202854,tRF-30-P4R8YP9LON4V
0.618231412,11.45309321,4.728621091,0.029664659,0.251202854,tRF-33-PW5SVP9N15WV0E
