,miR,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,001_FMS_1053,002_FMS_1078,003_FMS_1090,004_FMS_1096,005_FMS_1207,006_FMS_1209,007_FMS_1210,008_FMS_1212,009_FMS_1213,010_FMS_1214,011_SFN_122_,012_SFN_189_,013_SFN_204_,014_SFN_235_,015_FMS_1067,016_FMS_1098,017_FMS_1145,018_FMS_1154,019_FMS_1155,020_FMS_1162,021_FMS_1164,022_FMS_1166,023_FMS_1171,024_FMS_1169,025_FMS_1172,026_FMS_1173,027_FMS_1174,028_FMS_1175,029_FMS_1181,030_FMS_1182,031_FMS_1184,032_FMS_1185,033_FMS_1188,034_FMS_1193,035_FMS_1194,036_FMS_1195,037_FMS_1196,038_FMS_1197,039_FMS_1201,040_FMS_1202,041_FMS_1203,042_FMS_1204,043_FMS_1205,044_FMS_1215,045_FMS_1216,046_FMS_1217,,,,,,,,
1,miR-122-5p,25.28876921,-1.588834224,0.352943221,-4.501670889,6.74E-06,0.003472198,140.9022962,9.019280643,45.99757701,9.48258766,28.31259769,32.6173092,47.41856292,22.73551294,29.8559975,11.70835307,18.81938123,7.114536869,208.6717907,46.76498904,15.39979237,16.80945468,21.88818067,5.341844775,10.13744586,21.19506531,4.442487481,7.177869685,15.45486281,23.1513497,11.01508109,4.637274653,10.95059906,7.112380244,13.39658102,13.52014715,6.271552152,9.87288445,8.029782401,12.11113545,27.52451758,27.81881804,10.95994367,27.88397131,18.63950489,15.71755547,37.898481,7.091364388,8.475955731,53.56110244,28.49543754,1.88018816,,,,,,,,
2,miR-485-5p,8.543210937,-2.183246711,0.502436415,-4.345319418,1.39E-05,0.003581133,15.74327331,51.10925698,94.81133221,1.580431277,3.330893846,1.976806618,12.55197254,5.683878235,2.21155537,1.170835307,2.822907185,19.56497639,34.67897955,13.68731387,7.699896184,16.80945468,0.706070344,3.56122985,10.13744586,1.630389639,5.553109352,0.797541076,1.030324187,0,5.931197508,0,4.866932915,8.534856293,1.913797288,0.795302774,2.090517384,0.987288445,1.338297067,8.074090298,6.643849071,2.225505443,0,2.230717705,12.42633659,2.095674062,5.414068715,0,9.68680655,4.372334893,0.749879935,3.760376321,,,,,,,,
3,let-7a-2-3p,10.99511189,-0.984572918,0.307019985,-3.206869149,0.00134188,0.029089091,2.361490997,15.78374113,38.48776852,3.951078192,38.30527922,12.84924302,5.578654461,18.47260426,16.58666528,28.10004736,19.76035029,7.114536869,8.370788167,20.5309708,5.599924498,13.44756374,5.648562754,0.890307462,13.8237898,4.891168917,11.1062187,3.98770538,3.090972561,5.787837424,5.083883579,7.419639445,6.083666144,7.823618269,1.913797288,3.181211095,9.407328228,16.78390357,9.368079467,4.037045149,5.694727775,2.225505443,5.479971837,10.03822967,14.20152753,26.19592578,7.5796962,10.63704658,15.74106064,4.372334893,11.99807896,15.98159936,,,,,,,,
4,miR-10b-3p,7.816543384,-2.252728331,0.721989371,-3.120168278,0.001807478,0.029089091,47.22981994,66.8929981,38.48776852,0.790215638,0,0,0,0,0,0,16.93744311,31.1260988,39.46228707,2.281218978,12.59983012,15.12850921,1.412140689,2.670922387,11.05903184,4.891168917,4.442487481,0,1.030324187,1.446959356,13.55702288,0,0,9.246094318,4.78449322,0.795302774,0,6.911019115,4.0148912,4.037045149,0,0,2.739985918,0,4.437977354,2.095674062,2.165627486,0,0,2.186167447,0,4.700470401,,,,,,,,
5,miR-10b-5p,855.8560199,-2.145508988,0.645286257,-3.324894905,0.000884519,0.029089091,5759.676542,6938.833241,3644.134571,162.7844215,33.30893846,38.54772905,5.578654461,105.1517473,19.90399833,44.49174165,1438.741695,2753.325768,4535.771359,479.0559853,1770.276132,1881.818451,134.1533654,263.5310089,1428.45828,579.6035167,531.9878759,98.09755236,190.6099746,69.45404909,946.4496595,11.12945917,142.3577878,2044.098082,359.7938901,11.13423883,19.85991515,290.2628028,594.2038977,478.3898502,56.94727775,34.49533437,42.92644605,83.65191392,278.7049778,177.0844583,244.7159059,10.63704658,31.48212129,125.7046282,27.7455576,450.3050644,,,,,,,,
6,miR-125b-1-3p,427.649941,-1.229348856,0.372966988,-3.296133158,0.000980255,0.029089091,143.2637872,1146.951855,1263.525279,130.3855803,912.6649137,1130.733385,228.7248329,915.1043958,911.1608125,1736.34876,463.8977474,184.0886415,292.9775858,500.7275656,95.89870702,312.655857,61.42811995,76.56644177,258.9656623,60.32441665,124.3896495,71.77869685,61.81945122,224.2787002,138.1121706,222.5891834,244.563379,341.3942517,76.55189152,75.5537635,249.8168274,804.6400827,299.778543,129.1854448,196.4681083,106.8242613,172.6191129,177.3420575,512.1425866,706.242159,304.2706618,1501.005462,1134.567217,335.576703,387.6879265,246.304649,,,,,,,,
7,miR-127-3p,202.0660747,-1.744894522,0.500738873,-3.484639633,0.0004928,0.029089091,367.6054319,1040.975308,1322.665021,21.33582224,19.98536307,24.71008272,94.83712583,153.4647123,14.37510991,3.51250592,68.6907415,618.0753905,1347.098981,428.8691678,174.9976406,584.1285501,30.3610248,51.63783282,281.083726,68.47636484,108.8409433,23.12869121,34.00069817,28.93918712,279.6135968,19.47655354,98.55539153,351.3515841,14.35347966,87.48330511,65.85129759,48.37713381,64.23825921,153.4077157,72.13321849,67.87791602,15.52658687,23.4225359,373.6776932,37.72213312,106.1157468,23.63788129,64.17509339,196.7550702,38.99375663,180.4980634,,,,,,,,
8,miR-134,26.69690673,-1.619824218,0.516560947,-3.135785289,0.001713946,0.029089091,37.78385596,163.850265,188.6839384,1.580431277,0,2.965209927,6.973318076,19.89357382,6.63466611,2.341670613,7.527752493,56.02697784,156.055408,53.60864597,17.49976406,60.51403685,0,4.451537312,45.15771336,5.706363737,9.995596833,3.190164304,8.242593496,8.681756136,21.18284824,5.564729584,17.0342652,72.54627849,3.827594576,15.90605547,4.181034768,9.87288445,6.691485334,24.22227089,5.694727775,13.35303266,4.566643197,5.576794262,55.91851466,6.287022187,5.414068715,4.727576259,7.265104912,34.97867914,10.49831909,25.38254016,,,,,,,,
9,miR-136-5p,15.87898853,-2.066910858,0.604075498,-3.421610155,0.000622515,0.029089091,27.5507283,114.9958282,204.6422814,3.160862553,0,3.953613236,0,1.420969559,2.21155537,0,1.881938123,32.01541591,48.43098868,33.07767517,13.99981124,39.5022185,4.236422066,6.232152237,22.11806368,6.521558557,5.553109352,4.785246456,1.030324187,1.446959356,20.33553431,5.564729584,7.300399373,34.8506632,2.870695932,2.385908321,1.045258692,1.97457689,4.0148912,0,3.796485184,2.225505443,4.566643197,1.115358852,16.86431395,4.191348125,7.5796962,4.727576259,0,19.67550702,0,6.580658561,,,,,,,,
10,miR-148b-3p,2902.390339,0.295867678,0.092344428,3.203958079,0.001355522,0.029089091,3329.702306,2938.030669,2560.844696,2953.826056,1458.931504,2194.255346,1992.974306,1440.863133,1886.456731,1942.415774,2711.872836,3005.00251,3146.220524,3506.233569,3608.451348,2657.574785,3709.693589,3363.581593,3199.746546,3037.415898,3406.277276,3570.591398,3665.893458,2235.552205,3435.010671,3015.15598,2842.288822,2923.899518,2949.161621,3143.036562,3490.118772,2750.585608,2736.817502,2105.319045,3250.740439,3283.733282,3229.530069,3086.197944,3229.072323,2192.075069,2948.501822,3150.929577,3036.813853,3261.76183,2866.790992,3060.006231,,,,,,,,
