miRNA,precursor,24h_CNT_F_S_S5,24h_CNT_F_S_S6,24h_CNT_F_T_S29,24h_CNT_F_T_S30,24h_CNT_M_S_S17,24h_CNT_M_S_S18,24h_CNT_M_T_S41,24h_CNT_M_T_S42,24h_LPS_F_S_S7,24h_LPS_F_T_S31,24h_LPS_M_S_S19,24h_LPS_M_S_S20,24h_LPS_M_T_S43,24h_LPS_M_T_S44,24h_PS_F_S_S8,24h_PS_F_T_S32,4h_CNT_F_S_S1,4h_CNT_F_S_S2,4h_CNT_F_T_S25,4h_CNT_F_T_S26,4h_CNT_M_S_S13,4h_CNT_M_S_S14,4h_CNT_M_T_S37,4h_CNT_M_T_S38,4h_LPS_F_S_S3,4h_LPS_F_S_S4,4h_LPS_F_T_S27,4h_LPS_F_T_S28,4h_LPS_M_S_S15,4h_LPS_M_S_S16,4h_LPS_M_T_S39,4h_LPS_M_T_S40,7d_CNT_F_S_S10,7d_CNT_F_S_S9,7d_CNT_F_T_S33,7d_CNT_F_T_S34,7d_CNT_M_S_S21,7d_CNT_M_S_S22,7d_CNT_M_T_S45,7d_CNT_M_T_S46,7d_LPS_F_S_S11,7d_LPS_F_S_S12,7d_LPS_F_T_S35,7d_LPS_F_T_S36,7d_LPS_M_S_S23,7d_LPS_M_S_S24,7d_LPS_M_T_S47,7d_LPS_M_T_S48
mmu-let-7a-1-3p,mmu-let-7a-1,252,315,506,542,301,309,521,486,209,601,378,375,460,474,316,484,254,519,384,444,312,234,426,476,442,327,241,467,335,304,433,443,353,241,517,588,177,261,464,317,428,278,504,523,341,261,409,447
mmu-let-7a-2-3p,mmu-let-7a-2,1,4,5,7,2,1,3,0,1,4,4,2,4,5,3,4,3,3,1,8,1,2,4,3,1,0,0,5,1,1,4,5,1,1,4,8,0,4,10,6,5,0,8,5,1,2,7,5
mmu-let-7b-5p,mmu-let-7b,34572,42513,44895,45119,32236,34690,40612,33442,28121,38194,37352,58250,37677,39744,42654,36336,21960,59532,29856,35529,38181,37804,44871,38092,46034,45965,21312,36449,33556,38970,38615,39755,60795,62750,43180,47236,25392,31365,35829,25849,54589,45616,55819,40964,43926,28846,39066,39878
mmu-let-7b-3p,mmu-let-7b,99,121,178,156,73,94,121,107,107,133,73,113,108,134,98,162,43,145,109,122,103,126,178,150,108,107,59,114,83,81,134,120,112,62,122,137,68,76,132,80,135,66,137,126,112,90,139,100
mmu-let-7c-1-3p,mmu-let-7c-1,72,82,130,126,47,62,107,94,41,116,55,71,122,95,47,98,26,76,76,111,67,55,120,89,53,54,49,81,38,50,93,104,82,63,137,130,54,54,90,74,79,14,134,107,70,57,107,112
mmu-let-7c-2-3p,mmu-let-7c-2,252,315,506,542,301,309,521,486,209,601,378,375,460,474,316,484,254,519,384,444,312,234,426,476,442,327,241,467,335,304,433,443,353,241,517,588,177,261,464,317,428,278,504,523,341,261,409,447
mmu-let-7d-5p,mmu-let-7d,31276,36331,61652,63929,26035,28991,58061,46222,22209,54005,32910,54516,54999,57787,34143,49972,21678,61357,41297,46367,31456,29003,62677,55778,48028,39679,27483,46936,26370,34856,57626,53630,44902,33426,69713,73133,21125,25103,50017,34473,46635,40275,74450,56114,34423,22022,53483,52520
mmu-let-7d-3p,mmu-let-7d,3354,3574,7282,6803,2407,2236,5905,4956,2400,6092,2909,3604,6056,6798,3341,4983,1706,5060,4847,5688,3111,2800,7228,6299,4124,3017,2830,5521,2419,3381,6487,5596,5151,3628,5915,6534,1846,2412,5169,4049,4561,3417,7438,5508,3150,2317,5917,5731
mmu-let-7e-5p,mmu-let-7e,11867,14224,12036,12166,11269,12347,11996,9806,10324,10895,12028,21290,11612,11259,14448,9479,6418,19270,9169,10619,12567,12353,12590,10735,14074,16730,5983,10730,11213,10306,10550,11231,14093,14969,12415,15180,8887,9322,10581,9272,14852,4105,15184,10572,13823,9610,11939,11696
mmu-let-7e-3p,mmu-let-7e,38,51,83,60,29,40,57,56,28,56,46,62,83,65,50,54,36,77,39,54,49,31,64,70,60,40,36,45,56,44,45,46,41,34,57,73,22,41,57,47,84,28,57,50,46,27,25,52
