"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","miR"
"miR-155-5p",3.07003555931528,6.29261232563496,255.251156360857,1.86074456898598e-57,8.5222101259558e-55,4.42866584617196,"Sgnificant","miR-155-5p"
"miR-183-5p",-2.83501303047529,11.0839092187054,212.695203604782,3.54704080771678e-48,8.12272344967144e-46,-4.08963516511145,"Sgnificant","miR-183-5p"
"miR-21a-5p",2.12380263387561,14.137802154318,171.868639669507,2.89101054972991e-39,3.76739758544717e-37,3.06368183916174,"Sgnificant","miR-21a-5p"
"miR-96-5p",-2.68892385307034,7.23383232261422,171.611373274648,3.29030356807613e-39,3.76739758544717e-37,-3.87889488605979,"Sgnificant","miR-96-5p"
"miR-217-5p",-3.23976139871052,4.81615305809003,150.945196126303,1.07737411705412e-34,9.86874691221572e-33,-4.67350308457523,"Sgnificant","miR-217-5p"
"miR-182-5p",-2.19745414238772,10.4128065869995,128.894416562023,7.15236512340545e-30,5.45963871086616e-28,-3.16992748810118,"Sgnificant","miR-182-5p"
"miR-146a-5p",1.25985939249002,11.8037987772626,63.0057119847632,2.06108003754955e-15,1.34853522456813e-13,1.81740444196807,"Sgnificant","miR-146a-5p"
"miR-223-5p",1.30917293561247,5.17746138672428,46.6991045072946,8.27668202798685e-12,4.73840046102247e-10,1.88854146952381,"Sgnificant","miR-223-5p"
"miR-34a-5p",-1.3872152971643,4.09277735197313,34.1795095971801,5.02553387785001e-09,2.55743835117256e-07,-2.00112112356413,"Sgnificant","miR-34a-5p"
"miR-142a-3p",0.996288937874195,6.42724556155489,33.6537742502273,6.58469929016515e-09,3.01579227489564e-07,1.4371920802984,"Sgnificant","miR-142a-3p"
"miR-504-5p",-1.21283974509078,4.50058834512928,31.8717815393773,1.64692434773393e-08,6.8571941023831e-07,-1.74957646326462,"Sgnificant","miR-504-5p"
"miR-223-3p",1.24160765764292,4.00934529067348,29.3258505623515,6.11741441206291e-08,2.33481316727068e-06,1.79107548479835,"Sgnificant","miR-223-3p"
"miR-375-3p",-0.915800491741187,7.86077017185036,24.1587753223411,8.8711016737703e-07,3.12535735891292e-05,-1.32108383806025,"Sgnificant","miR-375-3p"
"miR-222-3p",0.759575138493675,8.59188038209981,22.5968702233613,1.99809840672834e-06,6.53663621629701e-05,1.09572166460461,"Sgnificant","miR-222-3p"
"miR-1a-3p",-0.836301643799894,9.73703044874739,20.8458681532197,4.97764891630356e-06,0.000151984213577802,-1.20640313619693,"Sgnificant","miR-1a-3p"
"miR-365-3p",0.813608737684213,5.54167662257366,20.3207691143333,6.54858783495481e-06,0.000187453326775581,1.17366758759393,"Sgnificant","miR-365-3p"
"miR-503-5p",1.4122924910952,2.62442725415156,20.0818403258153,7.41978597497766e-06,0.000199897763325869,2.03729611572102,"Sgnificant","miR-503-5p"
"miR-146b-5p",0.630671678332522,11.4606338626489,16.0264974503184,6.24621541599203e-05,0.00154303811527972,0.909772563872886,"Sgnificant","miR-146b-5p"
"miR-142a-5p",0.651892375452031,7.89275728957305,15.9800799704623,6.40124982321283e-05,0.00154303811527972,0.94038438407802,"Sgnificant","miR-142a-5p"
