"miR","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"miR-206-3p",-3.16300548850794,9.74142691389527,45.8957759009291,1.24714582836812e-11,5.72439935220966e-09,-4.56277919508327,"Sgnificant","miR-206-3p"
"miR-200a-3p",-2.21938230905688,6.17593330426732,43.2683539445425,4.77240012600591e-11,1.09526582891836e-08,-3.2015598652905,"Sgnificant","miR-200a-3p"
"miR-200c-3p",-2.48038382781193,6.4958426749062,39.5158503314392,3.25407438861182e-10,4.97873381457609e-08,-3.57806642020718,"Sgnificant","miR-200c-3p"
"miR-200b-3p",-2.01774570808901,7.04261878460021,35.426397021968,2.64872723684203e-09,3.03941450427622e-07,-2.91068990277978,"Sgnificant","miR-200b-3p"
"miR-155-5p",1.75596125299408,5.65545870118589,32.8219225642195,1.00999371449165e-08,9.27174229903337e-07,2.53305392660359,"Sgnificant","miR-155-5p"
"miR-3473e",1.95699694323451,3.92051259826965,32.3894364612476,1.2617047992598e-08,9.6520417143375e-07,2.82305704807491,"Sgnificant","miR-3473e"
"miR-6538",-2.11084597030615,3.40221501557274,26.1555373783659,3.14992514680074e-07,2.06545091768791e-05,-3.04499126300333,"Sgnificant","miR-6538"
"miR-140-3p",1.38485464283228,10.9453001357331,22.6762912707412,1.91718873638753e-06,0.000109998703750234,1.99771577238405,"Sgnificant","miR-140-3p"
"miR-143-3p",1.33924601022562,16.247866698996,21.2648821051334,3.999927352077e-06,0.000203996294955927,1.93192324665812,"Sgnificant","miR-143-3p"
"miR-3473b",1.45326262573491,4.52027963523571,20.7545699111166,5.22068454656315e-06,0.000239629420687249,2.09639739728156,"Sgnificant","miR-3473b"
"miR-143-5p",1.33119455169931,6.47204528338672,19.9398372127852,7.99176206817555e-06,0.000333474435390234,1.92030865174598,"Sgnificant","miR-143-5p"
"miR-145a-5p",1.29132206058178,9.63037545284952,19.3292825789982,1.10006309044024e-05,0.00042077413209339,1.86279077086079,"Sgnificant","miR-145a-5p"
"miR-140-5p",1.24420783853724,9.37426493766181,18.4185405857073,1.77324198678535e-05,0.000626090824564982,1.7948263639325,"Sgnificant","miR-140-5p"
"miR-881-3p",1.48410989930721,3.29865899947897,16.6895866607884,4.40219789226033e-05,0.00144329202324821,2.14089599160652,"Sgnificant","miR-881-3p"
"miR-145a-3p",1.1767537867629,10.5588894022068,16.4785845487475,4.92027040034262e-05,0.00150560274250484,1.69752082804953,"Sgnificant","miR-145a-3p"
"miR-31-5p",1.16879130394624,5.41047816530185,14.0498581932455,0.00017802725579287,0.00510715690055795,1.68603458464305,"Sgnificant","miR-31-5p"
"miR-21a-5p",1.06058368007693,13.1459638806277,13.5968954512489,0.00022655989370613,0.00611711713006552,1.52994016851442,"Sgnificant","miR-21a-5p"
"miR-203-3p",-1.17856345545851,10.7289472824289,12.615386673051,0.000382584387647623,0.00975590188501438,-1.70013135740344,"Sgnificant","miR-203-3p"
"miR-133a-3p",-1.33705736056742,7.85633849053628,10.4761839345425,0.00120923270986565,0.0280292603565835,-1.92876602003868,"Sgnificant","miR-133a-3p"
"miR-203b-3p",1.16213279540252,3.11027317963814,10.3782081045804,0.0012751138875695,0.0280292603565835,1.67642938339886,"Sgnificant","miR-203b-3p"
"miR-122-5p",-1.0119469942933,5.25468576473753,10.3677110158632,0.00128238446075872,0.0280292603565835,-1.45977953843722,"Sgnificant","miR-122-5p"
"miR-199a-5p",0.910989978146316,8.89557505513095,9.79121612830731,0.0017534745664725,0.0365838557277672,1.31414445353244,"Sgnificant","miR-199a-5p"
"miR-224-5p",0.879475430187062,7.9105815598907,9.29853554846053,0.00229337110734099,0.045767710359544,1.2686832855726,"Sgnificant","miR-224-5p"
"miR-451a",0.830687854255672,9.20017186809749,8.28833364220878,0.00399005863779878,0.0763098714479017,1.19830498959838,"N.S.","miR-451a"
"miR-376a-3p",-0.974762551796396,3.70751062900982,7.9786781911322,0.00473314884205303,0.0869006127400937,-1.4061392898755,"N.S.","miR-376a-3p"
"miR-144-3p",0.856745702991514,4.91781218731442,7.75372685179266,0.005360181423482,0.0946278182068553,1.23589462088815,"N.S.","miR-144-3p"
"miR-214-3p",0.844428525376823,5.44477096985461,7.65828633164266,0.00565121566492904,0.0960706663037937,1.21812653228804,"N.S.","miR-214-3p"
"miR-144-5p",0.826299602049728,4.53373836784807,7.09996424705655,0.00770854894737328,0.123185924204357,1.19197473631846,"N.S.","miR-144-5p"
"miR-871-3p",1.13086060630804,2.07330683805934,7.08274060233328,0.00778298867522084,0.123185924204357,1.63131782911815,"N.S.","miR-871-3p"
"miR-29b-3p",-0.750131627871554,7.96250295035671,6.40202735293736,0.0113990121392515,0.174404885730548,-1.08209897126699,"N.S.","miR-29b-3p"
"miR-214-5p",0.740872261110091,5.20795532553294,5.93200129294121,0.0148683469097137,0.220147459082534,1.06874191381882,"N.S.","miR-214-5p"
"miR-1a-3p",-0.865786484445533,13.9504651298807,5.79888148661496,0.0160363727977815,0.230021722318178,-1.24893635909429,"N.S.","miR-1a-3p"
"miR-190a-5p",-0.761217532093547,3.49079486082005,5.13803483272995,0.0234071299040124,0.325571897755809,-1.09809089202924,"N.S.","miR-190a-5p"
"miR-148a-3p",0.632646933867045,14.4684577796141,4.90937835669956,0.0267112527987385,0.36060191278297,0.912621959768859,"N.S.","miR-148a-3p"
"miR-199b-3p",0.617874781034179,11.3613261893164,4.62371935079699,0.0315327926899835,0.40204310679729,0.891312457822915,"N.S.","miR-199b-3p"
"miR-199a-3p",0.617874781034179,11.3613261893164,4.62371935079699,0.0315327926899835,0.40204310679729,0.891312457822915,"N.S.","miR-199a-3p"
"miR-148a-5p",0.678106817371957,4.20003206926459,4.51131897000015,0.0336712661956348,0.417705707670172,0.978199908153946,"N.S.","miR-148a-5p"
"miR-503-5p",0.744823792863777,2.7884058293658,4.16498577933689,0.0412677594450891,0.498471094349892,1.07444217799476,"N.S.","miR-503-5p"
"miR-486b-5p",0.550948894824688,8.93066679234626,3.67765709705159,0.0551462895539388,0.649029407827126,0.794768824775593,"N.S.","miR-486b-5p"
"miR-486a-5p",0.54050914426176,8.84167921171087,3.5385894724599,0.0599564277297255,0.68028021791177,0.779709010038169,"N.S.","miR-486a-5p"
"miR-365-3p",0.554907649440379,5.75268389000155,3.51635985203818,0.0607657710988727,0.68028021791177,0.800479508258294,"N.S.","miR-365-3p"
"miR-27a-5p",0.523675552978399,6.8409510101326,3.2655442428866,0.0707495427134196,0.743437910819394,0.755425789422421,"N.S.","miR-27a-5p"
"miR-3061-5p",-0.59988031217577,3.63623529794081,3.25783586529614,0.0710828810122352,0.743437910819394,-0.865354618536188,"N.S.","miR-3061-5p"
"miR-490-5p",-0.543221982689552,5.13011363389002,3.25360901844711,0.0712663792506609,0.743437910819394,-0.783622402785327,"N.S.","miR-490-5p"
"miR-152-5p",0.554554594056896,4.47399940271726,3.15229044749215,0.0758204668708489,0.773368762082659,0.799970209819096,"N.S.","miR-152-5p"
"miR-221-5p",0.557708369555814,4.21439392511005,3.09681269255444,0.0784457397807374,0.782752055638228,0.804519674334637,"N.S.","miR-221-5p"
"miR-378a-3p",0.505267080802882,13.3250529231301,3.0445921246253,0.0810064623706575,0.791105664428336,0.728870731531788,"N.S.","miR-378a-3p"
"miR-150-5p",0.49537497449233,7.23471868711679,2.95268584483637,0.0857349627494993,0.819840581292087,0.714600918522192,"N.S.","miR-150-5p"
"miR-153-3p",-0.501551203377229,5.43618927064124,2.82760479569725,0.0926564566486799,0.849238367920228,-0.723510409435969,"N.S.","miR-153-3p"
"miR-708-3p",0.485030421996976,6.85992519535539,2.8021251122629,0.0941394571201972,0.849238367920228,0.699678431324576,"N.S.","miR-708-3p"
"miR-152-3p",0.477344536141903,9.35069420652466,2.79837632521145,0.0943598186578032,0.849238367920228,0.688591191608197,"N.S.","miR-152-3p"
"miR-377-3p",-0.671379318998445,2.13988406862866,2.70047246680357,0.100318513947798,0.875676762611873,-0.968495185944281,"N.S.","miR-377-3p"
"miR-223-5p",0.512351548659602,4.31800989451257,2.6878998623564,0.10111300309026,0.875676762611873,0.739090398447425,"N.S.","miR-223-5p"
"miR-7a-1-3p",0.641109147721357,2.33376960547332,2.6544153376611,0.103262718393024,0.877733106340702,0.924829087912987,"N.S.","miR-7a-1-3p"
"miR-217-5p",-0.57805945489168,3.24060004734998,2.6129241360434,0.105996151028959,0.884586060405308,-0.833877040012702,"N.S.","miR-217-5p"
"miR-378c",0.464140047235234,10.0326677452083,2.55053006692896,0.110257258364287,0.903715742664421,0.669543116135688,"N.S.","miR-378c"
"miR-28a-5p",0.450545925564195,6.98099180655387,2.43188944433194,0.11888952005908,0.957373503633643,0.649932977689388,"N.S.","miR-28a-5p"
"let-7f-1-3p",0.626904879881594,2.08318888877519,2.27050110555609,0.131857261650757,0.991695494945662,0.904338785883435,"N.S.","let-7f-1-3p"
"miR-146b-5p",0.420977302579712,11.124019569646,2.18188683332842,0.139643170386558,0.991695494945662,0.607278894959831,"N.S.","miR-146b-5p"
"miR-154-5p",-0.459378606815343,4.34478835955083,2.14516628970642,0.143019539177618,0.991695494945662,-0.662674521893458,"N.S.","miR-154-5p"
"miR-187-3p",0.441898094556357,4.69874672898436,2.07323701724154,0.149903061871289,0.991695494945662,0.637458088363865,"N.S.","miR-187-3p"
"miR-142a-5p",0.409110312730961,7.81563878672003,2.02719010222342,0.154506037042738,0.991695494945662,0.590160222675868,"N.S.","miR-142a-5p"
"miR-8103",-0.550131204825455,2.45014105770484,2.02501274140616,0.154727625739428,0.991695494945662,-0.793589269782696,"N.S.","miR-8103"
"miR-184-3p",-0.549715577223686,2.22448457269718,1.9400808743972,0.16365975315747,0.991695494945662,-0.792989708074333,"N.S.","miR-184-3p"
"miR-23a-3p",0.394252401636091,9.75610464785348,1.91323885125672,0.166603925245198,0.991695494945662,0.568727010538747,"N.S.","miR-23a-3p"
"miR-669o-5p",-0.590924164962119,1.83054383347483,1.87934994638102,0.170408048962664,0.991695494945662,-0.852434969068926,"N.S.","miR-669o-5p"
"miR-29b-1-5p",0.499738178327564,2.73445570031855,1.86590091581433,0.171945291999375,0.991695494945662,0.720895038388769,"N.S.","miR-29b-1-5p"
"miR-341-5p",0.531756644958516,2.42428715909438,1.84682917888753,0.174152630429673,0.991695494945662,0.767083131938709,"N.S.","miR-341-5p"
"miR-3081-3p",0.528265143547703,2.36183066634287,1.84217981001731,0.174695674953529,0.991695494945662,0.762046482443556,"N.S.","miR-3081-3p"
"miR-329-3p",-0.389384173262363,6.60187305816377,1.79781297473378,0.179977120601942,0.991695494945662,-0.561704369818942,"N.S.","miR-329-3p"
"miR-497a-5p",0.401460928507763,5.21513062986741,1.79162342994901,0.180728489239809,0.991695494945662,0.57912563822269,"N.S.","miR-497a-5p"
"miR-32-3p",-0.444669142303455,3.51871064984557,1.78863550551494,0.181092501409474,0.991695494945662,-0.641455450700092,"N.S.","miR-32-3p"
"miR-126a-3p",0.379316208596223,14.7191742087953,1.78152950664116,0.181961623946306,0.991695494945662,0.547180873137573,"N.S.","miR-126a-3p"
"miR-1224-5p",-0.408158854758861,4.46719325353269,1.73133342796518,0.188240696036459,0.991695494945662,-0.58878770130154,"N.S.","miR-1224-5p"
"miR-346-5p",-0.398795537992196,4.47598792209826,1.64360506686864,0.199831555383203,0.991695494945662,-0.575280691245712,"N.S.","miR-346-5p"
"miR-15b-5p",0.404985608418423,4.02205321786049,1.59621249151783,0.206440782826022,0.991695494945662,0.584210149212038,"N.S.","miR-15b-5p"
"miR-378a-5p",0.370212225028003,6.53861634865048,1.53764950370088,0.214968011171069,0.991695494945662,0.534047963008781,"N.S.","miR-378a-5p"
"miR-350-3p",0.446772852030518,2.86393734148351,1.52071347885649,0.217511554552796,0.991695494945662,0.644490147607831,"N.S.","miR-350-3p"
"miR-28a-3p",0.358840047994127,6.35308850257186,1.51661861228715,0.218131916016346,0.991695494945662,0.517643080702537,"N.S.","miR-28a-3p"
"miR-1193-3p",-0.394526854232913,3.95032377492388,1.51522581772835,0.218343401408031,0.991695494945662,-0.569122920885209,"N.S.","miR-1193-3p"
"miR-504-5p",-0.386025387504333,4.26818718926271,1.50297708502935,0.220213856391925,0.991695494945662,-0.556859168685665,"N.S.","miR-504-5p"
"miR-5114",-0.472077209770232,2.26456175448101,1.42044971896809,0.233329395731819,0.991695494945662,-0.680992833884918,"N.S.","miR-5114"
"miR-3068-3p",-0.386915115467102,3.76987130632716,1.40858454369319,0.235291509196583,0.991695494945662,-0.558142641715528,"N.S.","miR-3068-3p"
"miR-128-3p",-0.336349236637943,11.1156135471424,1.39246994090347,0.237988428259221,0.991695494945662,-0.485199062976552,"N.S.","miR-128-3p"
"miR-132-3p",-0.353219924808461,4.93648803926459,1.33385305795605,0.248120909837216,0.991695494945662,-0.509535797538303,"N.S.","miR-132-3p"
"miR-34a-5p",-0.403421743452282,3.14074787065637,1.32545248560878,0.24961583940223,0.991695494945662,-0.581954202911169,"N.S.","miR-34a-5p"
"miR-5099",0.357856754063816,4.397884655608,1.32269810230316,0.25010839918631,0.991695494945662,0.516224634511351,"N.S.","miR-5099"
"miR-375-3p",0.329488734963941,8.28834657282827,1.31920381280618,0.250734991379456,0.991695494945662,0.475302477460118,"N.S.","miR-375-3p"
"miR-193a-5p",0.35531964515695,4.50167108246167,1.31812929520028,0.250928059835807,0.991695494945662,0.512564739586107,"N.S.","miR-193a-5p"
"miR-221-3p",0.31820767160931,7.67622872767839,1.22197663650361,0.268973084865432,0.991695494945662,0.459029030777859,"N.S.","miR-221-3p"
"miR-125b-1-3p",0.316517377241776,7.88271819476272,1.2200434556976,0.26935212398767,0.991695494945662,0.456590704318492,"N.S.","miR-125b-1-3p"
"miR-130b-5p",-0.371805928564331,3.40349831745861,1.21985668898253,0.269388778692449,0.991695494945662,-0.53634695280349,"N.S.","miR-130b-5p"
"miR-12194-3p",0.436940102476923,2.25763407859295,1.21227131871712,0.270882759117831,0.991695494945662,0.630305959418271,"N.S.","miR-12194-3p"
"miR-543-3p",-0.312480703954222,11.4102756993142,1.20866185973642,0.271597299157934,0.991695494945662,-0.45076761960975,"N.S.","miR-543-3p"
"miR-222-3p",0.314453551720491,8.38576408072908,1.20689479996359,0.271947971911915,0.991695494945662,0.453613542190569,"N.S.","miR-222-3p"
"miR-6516-5p",-0.35590083638953,3.77378020255092,1.199398855384,0.273441860835201,0.991695494945662,-0.513403134357794,"N.S.","miR-6516-5p"
"miR-3473a",0.407912399069924,2.61901212360484,1.19819421908412,0.273682894632315,0.991695494945662,0.588432177767333,"N.S.","miR-3473a"
"let-7i-3p",0.372472411326724,3.32458987777976,1.18853783658595,0.27562469047924,0.991695494945662,0.537308384483951,"N.S.","let-7i-3p"
"miR-574-3p",0.316880272443733,6.43026625433257,1.1875832122478,0.275817593594053,0.991695494945662,0.457114197143118,"N.S.","miR-574-3p"
"miR-25-3p",0.310295160905682,9.62345031785518,1.18665960123136,0.276004391275913,0.991695494945662,0.447614874415956,"N.S.","miR-25-3p"
"miR-547-3p",0.320739637340856,5.34358087603901,1.15598535292887,0.282299701620317,0.991695494945662,0.462681506438915,"N.S.","miR-547-3p"
"miR-137-5p",-0.322877809781798,5.03243860640833,1.12423858553088,0.289007604045157,0.991695494945662,-0.465765917377965,"N.S.","miR-137-5p"
"miR-201-5p",0.417112918579097,2.26716979378388,1.11226103356839,0.291590977656243,0.991695494945662,0.601704345379098,"N.S.","miR-201-5p"
"miR-1947-5p",0.384654884572235,2.60639432902748,1.07621615379035,0.299545572979072,0.991695494945662,0.554882155908388,"N.S.","miR-1947-5p"
"miR-33-5p",-0.385195115158844,2.55207463422689,1.04381470027556,0.306935930236336,0.991695494945662,-0.555661463086349,"N.S.","miR-33-5p"
"miR-486b-3p",-0.394038444505207,2.45339026465804,1.03122863428697,0.309870271429775,0.991695494945662,-0.568418367651789,"N.S.","miR-486b-3p"
