"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"mmu-miR-135a-5p",-3.504064175575,5.65660598568722,314.67316566075,2.09522725246926e-70,1.04761362623463e-67,-5.05477185437709,"Sgnificant","mmu-miR-135a-5p"
"mmu-miR-219a-2-3p",-2.62964200076297,9.17196733120308,248.990140328607,4.31121758448016e-56,1.07780439612004e-53,-3.79337811938429,"Sgnificant","mmu-miR-219a-2-3p"
"mmu-miR-1298-5p",-2.3835310460558,6.35300973136613,180.098804459489,4.61155430708197e-41,7.68592384513662e-39,-3.43835187997372,"Sgnificant","mmu-miR-1298-5p"
"mmu-miR-708-3p",-1.8121868966882,6.96789667562101,121.143724190623,3.55426918555475e-28,4.44283648194343e-26,-2.61416197343113,"Sgnificant","mmu-miR-708-3p"
"mmu-miR-298-5p",-1.78188435468068,5.81384250153643,100.07687820938,1.46594948445375e-23,1.46594948445375e-21,-2.57044917914974,"Sgnificant","mmu-miR-298-5p"
"mmu-miR-146a-5p",1.42702960461768,11.0904407000686,84.7670253646993,3.35676159407032e-20,2.79730132839194e-18,2.05855507186898,"Sgnificant","mmu-miR-146a-5p"
"mmu-miR-881-3p",2.00131527687578,3.61884612606378,75.039392364405,4.61415371957098e-18,3.29582408540784e-16,2.88698825889128,"Sgnificant","mmu-miR-881-3p"
"mmu-miR-9-3p",-1.28075424931903,10.1739439071913,66.6588088840211,3.22810492091311e-16,2.0175655755707e-14,-1.84754622274272,"Sgnificant","mmu-miR-9-3p"
"mmu-miR-132-3p",-1.42500677485434,5.35027016794196,65.1081992933275,7.08964716121093e-16,3.93869286733941e-14,-2.0556370479854,"Sgnificant","mmu-miR-132-3p"
"mmu-miR-219a-5p",-2.57911864274857,2.33269226931534,61.8525294093921,3.70166591506958e-15,1.85083295753479e-13,-3.72049587885343,"Sgnificant","mmu-miR-219a-5p"
"mmu-miR-212-5p",-1.25531951840535,7.06577759668348,61.0093050064992,5.68056839489389e-15,2.58207654313359e-13,-1.81085546723593,"Sgnificant","mmu-miR-212-5p"
"mmu-miR-129-2-3p",-1.39599670338599,4.97395148808861,58.5246503648067,2.00759767941297e-14,8.36499033088738e-13,-2.01378870120744,"Sgnificant","mmu-miR-129-2-3p"
"mmu-miR-7b-5p",-1.27862459810861,11.0449082308687,58.1382741702491,2.44326179274026e-14,9.3971607413087e-13,-1.84447410406605,"Sgnificant","mmu-miR-7b-5p"
"mmu-miR-344-3p",-1.23329797948714,6.21222583976263,55.1360130761387,1.12471178041431e-13,4.01682778719398e-12,-1.77908839633303,"Sgnificant","mmu-miR-344-3p"
"mmu-miR-10a-5p",-1.17306966755697,8.24152099484489,48.3284888410667,3.60476925977857e-12,1.20158975325952e-10,-1.69220631862927,"Sgnificant","mmu-miR-10a-5p"
