"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","miR"
"miR-451a",-0.973149348695626,9.60199606606107,97.6859095914523,4.90298928197075e-23,2.36814382319187e-20,-1.40381217107271,"Sgnificant","miR-451a"
"miR-155-5p",1.36436156813951,3.89109704032079,59.1179935698973,1.48495143934767e-14,3.58615772602463e-12,1.96815358060436,"Sgnificant","miR-155-5p"
"miR-135a-5p",1.22130463736747,3.80640871552665,45.3544183972307,1.64416668499092e-11,2.64710836283539e-09,1.76178745515477,"Sgnificant","miR-135a-5p"
"miR-486a-3p",-0.738734825703263,6.15005666612487,42.5790281390981,6.78833248647826e-11,8.1969114774225e-09,-1.06565856608499,"Sgnificant","miR-486a-3p"
"miR-144-5p",-0.88877913250372,4.96768997739039,41.7562702434831,1.03390148592417e-10,9.98748835402747e-09,-1.28210429907446,"Sgnificant","miR-144-5p"
"miR-144-3p",-0.777233887946491,5.42510085198382,37.4879932037296,9.19774518057167e-10,7.40418487036019e-08,-1.12119521338827,"Sgnificant","miR-144-3p"
"miR-486b-5p",-0.540121100723501,9.73572765488003,32.0988312381557,1.46525437227301e-08,1.01102551686838e-06,-0.779149239595281,"Sgnificant","miR-486b-5p"
"miR-486a-5p",-0.490156904831218,9.67869959483767,26.3002529766003,2.92250392315864e-07,1.76446174360703e-05,-0.707073615842914,"Sgnificant","miR-486a-5p"
"miR-1943-5p",-1.89555716412729,1.61723653007867,25.0698282264556,5.52912571073571e-07,2.9672974647615e-05,-2.73442737389968,"Sgnificant","miR-1943-5p"
"miR-486b-3p",-0.801538370197753,3.56491762843946,18.6068448753461,1.6064272308482e-05,0.000775904352499682,-1.15625553382282,"Sgnificant","miR-486b-3p"
"miR-132-3p",0.646535373600988,4.27559944757197,17.5742577789156,2.7630340377092e-05,0.00121322312746686,0.93265666539945,"Sgnificant","miR-132-3p"
"miR-143-3p",0.376750497074729,13.3987236209126,15.9252299474751,6.58944602775983e-05,0.00265225202617333,0.543479717640565,"Sgnificant","miR-143-3p"
"miR-142a-5p",-0.399541757561393,7.17521336718681,14.7880383945366,0.000120296137579676,0.00446946418853718,-0.576357146894514,"Sgnificant","miR-142a-5p"
"miR-21a-5p",0.335172571869846,12.466282489223,12.9478381612716,0.000320291146698074,0.0110500445610835,0.483501670561974,"Sgnificant","miR-21a-5p"
"miR-221-5p",0.574427169598453,3.74518365381353,10.891956643445,0.000965827480590609,0.0310996448750176,0.82863730336768,"Sgnificant","miR-221-5p"
"miR-1306-5p",-0.86584989216577,2.37184967421095,10.5032429130301,0.0011916522044105,0.03575880924457,-1.249027827613,"Sgnificant","miR-1306-5p"
