Sample_ID,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq
tRF-16-07QSNHD,0,1,1,0,0,0,0,0,2,0,0,3,1,0,6,2,2,0,0,2,2,1,0
tRF-16-08P2B5D,1,0,0,4,3,5,1,0,3,0,1,4,1,1,2,0,1,3,0,3,3,0,2
tRF-16-08Q2B5D,179,154,98,148,303,220,141,138,398,230,166,449,254,206,205,260,96,124,93,358,423,194,192
tRF-16-08R959D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
tRF-16-0P5830E,2,5,3,1,0,11,7,5,4,3,13,22,7,7,2,6,0,3,1,3,1,10,4
tRF-16-0RSSX7D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0
tRF-16-0UQ2B5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tRF-16-113KYUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-12Z4R90,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
tRF-16-18WO6VD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tRF-16-1EWJQ7D,0,0,0,0,0,2,0,2,0,0,1,1,1,0,0,4,1,1,0,0,12,1,0
tRF-16-1HK24O0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1KWH19B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
tRF-16-1MN0YUB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
tRF-16-1PW4PU0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,3,0,0,0
tRF-16-1QKS3WD,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tRF-16-1SS2P40,0,0,1,1,3,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,1,2
tRF-16-1SS2PMB,2,0,0,0,0,1,3,0,0,1,0,2,0,1,1,0,0,0,0,3,1,0,0
tRF-16-1Z3L7L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tRF-16-23W8WR0,0,5,0,0,0,0,0,0,0,4,2,4,1,0,0,0,0,0,0,0,0,3,0
tRF-16-2EK8E0D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tRF-16-2ERPFVE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
tRF-16-2KWHR90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
tRF-16-2MK827D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-30MB01B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
tRF-16-32VIJM0,0,3,0,0,1,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0
tRF-16-3JVIJM0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3JW261B,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3JWB61B,14,13,17,11,16,23,21,16,37,16,13,58,38,6,9,18,4,6,4,20,50,15,13
tRF-16-3KJB01B,0,0,0,0,2,6,1,1,3,0,1,5,1,0,3,0,0,0,0,1,5,3,0
tRF-16-3KMB01B,35,80,38,44,87,163,45,31,154,81,49,225,113,46,30,57,16,44,35,117,233,66,40
tRF-16-3KXR3RB,28,17,16,36,27,28,36,11,34,21,16,26,21,15,18,41,5,20,17,40,64,16,17
tRF-16-3L7L73D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3L90Q40,0,2,0,0,1,1,1,0,0,0,0,0,0,1,1,5,0,0,0,2,1,2,0
tRF-16-3VL8W1B,0,0,0,1,1,0,0,1,0,0,2,1,1,2,1,3,0,0,0,4,1,0,0
tRF-16-3VLIE1B,6,4,8,12,8,25,11,5,15,11,13,13,6,7,4,23,4,5,6,11,39,10,4
tRF-16-3VWIQ1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
tRF-16-3XRSN3E,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-40KK5YE,1,0,0,1,1,0,2,0,1,0,0,1,0,1,2,0,0,0,0,1,3,1,0
tRF-16-489B3RB,20,24,21,23,44,49,33,23,60,30,28,58,27,27,30,37,26,11,8,66,134,26,22
tRF-16-489L3RB,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4RRWRBD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
tRF-16-4YMY910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tRF-16-4ZMKQ40,0,1,0,2,0,0,2,2,4,0,0,1,0,4,0,0,1,1,0,0,2,1,0
tRF-16-50SJRED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tRF-16-593J2HD,1,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0
tRF-16-593KMHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tRF-16-596VW6D,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
tRF-16-596VW6E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tRF-16-59KNNV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-59V3WDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-5DMKYUE,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tRF-16-5L8RPYE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
tRF-16-5Y93W0E,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
tRF-16-68K87SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
