Trfs,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-16-08Q2B5D,863.2,465.55,435.49,1140.97,2065.77,1448.17,770.54,549.35,692.4,1238.18,958.68,769.2,297.12,560.32,1187.53,404.69,667.95,689.07,782.82,1251.87,518.36,694.22,752.78,2092.53,0.1652080442111088,0.4404291474889867
tRF-16-0P5830E,5.08,5.2,14.14,34.93,13.96,0.0,38.53,27.27,25.09,12.44,12.5,60.24,14.56,15.44,40.35,3.95,15.41,0.0,18.94,13.46,4.34,1.64,38.8,43.59,0.08811230395346592,0.6822353858389432
tRF-16-3JWB61B,96.48,36.41,36.76,197.92,153.54,76.47,80.56,81.82,80.28,115.11,66.69,60.24,38.38,83.83,34.59,17.77,46.24,28.71,37.88,53.84,28.96,82.06,58.2,141.68,0.09003445688951447,0.6756677346034167
tRF-16-3KMB01B,243.73,91.03,226.23,442.42,614.15,415.81,570.9,175.33,155.54,479.09,337.62,227.05,148.89,249.27,265.18,59.22,146.44,114.84,277.77,471.13,169.41,382.39,256.1,435.94,0.1231195308079431,0.5665438136739454
tRF-16-3KXR3RB,116.79,72.82,48.07,186.28,502.48,129.04,98.07,140.26,55.19,105.77,87.53,74.14,17.2,46.33,86.47,35.53,105.33,35.89,126.26,228.84,57.92,105.04,62.09,185.28,0.014738550001675996,0.9455047941868496
tRF-16-3VLIE1B,40.62,15.61,11.31,93.14,167.49,38.24,87.56,42.86,25.09,46.67,45.85,60.24,8.6,13.24,40.35,7.9,59.09,28.71,31.57,80.77,15.93,64.01,38.8,43.59,-0.010850562590054597,0.9598671713041218
tRF-16-489B3RB,137.1,52.02,67.87,244.49,321.03,210.29,171.62,128.57,115.4,186.66,125.04,129.74,38.38,59.56,155.65,59.22,95.05,186.62,69.44,107.69,95.56,219.92,100.89,239.77,0.22294658093829792,0.29502694679861363
tRF-16-73FJQ4D,25.39,2.6,8.48,0.0,41.87,14.34,7.0,15.58,5.02,37.33,8.34,32.44,3.97,4.41,0.0,9.87,20.55,7.18,18.94,13.46,10.14,26.26,31.04,0.0,0.11604174387084427,0.5892190315662031
tRF-16-7P596VE,45.7,5.2,16.97,11.64,27.92,38.24,14.01,15.58,65.23,12.44,4.17,13.9,3.31,13.24,5.76,7.9,2.57,7.18,12.63,94.23,11.58,11.49,7.76,0.0,-0.22313890363211103,0.29459974202979466
tRF-16-884U1DD,502.69,340.71,641.92,1653.24,753.73,449.27,346.74,222.08,185.64,531.98,537.69,699.69,111.83,216.19,743.65,173.72,331.41,351.71,486.1,780.73,224.43,315.11,640.25,1100.76,0.05590791833751643,0.7952702440315533
tRF-16-8871K9D,299.58,223.67,149.88,500.63,851.43,406.25,290.7,194.81,245.85,348.43,333.45,250.22,82.72,205.16,403.53,140.16,267.18,258.4,252.52,484.59,180.99,251.1,333.71,828.29,0.2167936149316009,0.30889790039437637
tRF-16-8S68L5D,20.31,10.4,11.31,11.64,83.75,4.78,10.51,19.48,25.09,31.11,33.35,18.53,13.23,15.44,5.76,9.87,23.12,21.53,6.31,40.38,1.45,26.26,11.64,21.8,-0.0955762474553043,0.6568619477015338
tRF-16-8Y3DUVD,106.63,20.81,16.97,81.5,153.54,38.24,66.55,27.27,0.0,65.33,54.19,55.6,13.9,28.68,34.59,25.66,71.93,28.71,56.82,67.3,31.85,68.93,31.04,65.39,0.017151120194286162,0.9366006637778085
tRF-16-9N1EWJ0,685.48,288.7,356.31,1373.82,544.36,430.15,385.27,471.43,301.04,731.09,533.52,403.13,153.52,416.93,536.12,426.4,197.82,358.89,416.66,673.05,178.09,622.01,438.48,457.74,-0.10439068900832937,0.6273664353571649
tRF-16-BS68BFD,15.23,10.4,11.31,23.29,0.0,14.34,7.0,27.27,15.05,21.78,29.18,27.8,5.96,4.41,11.53,5.92,0.0,14.36,31.57,13.46,8.69,11.49,15.52,10.9,-0.14869267042464673,0.4880426220028389
tRF-16-JMRPFQD,45.7,39.01,53.73,81.5,27.92,52.57,28.02,46.75,50.17,74.66,25.01,37.07,25.15,13.24,46.12,49.35,5.14,7.18,31.57,40.38,30.41,98.47,27.16,98.09,0.3687442833681623,0.07620795357445925
tRF-16-K8KDP1B,45.7,23.41,14.14,34.93,195.41,62.13,80.56,42.86,40.14,65.33,79.2,27.8,19.19,28.68,51.88,25.66,33.4,7.18,44.19,121.15,20.27,62.36,31.04,152.58,0.1791654647390238,0.40220989355083975
tRF-16-K8QJP1B,81.24,18.21,25.45,69.86,181.45,52.57,38.53,35.07,30.1,80.89,54.19,18.53,14.56,39.71,46.12,23.69,41.1,43.07,18.94,94.23,20.27,83.7,50.44,130.78,0.23779221786981763,0.2631852660760554
tRF-16-KQ3SW1B,45.7,7.8,11.31,23.29,27.92,23.9,14.01,3.9,20.07,24.89,25.01,13.9,4.63,13.24,11.53,17.77,28.26,7.18,6.31,26.92,10.14,16.41,23.28,32.7,0.09219796236018003,0.6683028128608322
tRF-16-MBQ4NKD,1117.09,600.8,231.88,1676.52,1549.33,621.33,563.89,736.37,396.37,724.86,566.87,926.75,116.46,357.37,951.18,323.75,554.91,1313.53,498.73,1844.15,321.44,608.88,434.6,893.68,-0.17533495532745905,0.4125099060514652
tRF-16-ML5F82D,25.39,26.01,0.0,23.29,55.83,14.34,14.01,11.69,0.0,43.55,16.67,13.9,3.97,17.65,17.29,1.97,20.55,28.71,6.31,40.38,10.14,19.69,11.64,54.49,0.1342092887228001,0.5318212890561327
tRF-16-MNH5SYD,40.62,10.4,48.07,139.71,97.71,81.25,49.03,7.79,15.05,59.11,33.35,23.17,13.9,50.74,98.0,13.82,12.85,43.07,44.19,53.84,13.03,21.34,42.68,108.99,0.019187577556607202,0.9290903547160092
tRF-16-NS5J7KE,45.7,28.61,90.49,186.28,125.62,71.69,21.01,58.44,40.14,62.22,62.52,27.8,2.65,13.24,40.35,43.43,59.09,64.6,63.13,242.3,34.75,4.92,69.85,163.48,-0.0010829347472520734,0.9959930075544797
tRF-16-NY2V7KE,20.31,23.41,59.38,151.35,181.45,38.24,31.52,54.55,45.16,46.67,20.84,13.9,9.93,61.77,98.0,9.87,2.57,14.36,63.13,201.91,28.96,0.0,27.16,98.09,-0.10862295145345562,0.613395075140788
tRF-16-PSQP4PE,401.14,137.85,246.02,419.13,572.27,248.53,220.65,257.14,195.68,223.99,320.95,171.45,83.38,116.92,305.53,209.25,518.95,624.47,176.77,403.83,175.2,195.3,232.82,185.28,-0.24555704345686608,0.24744593504816084
tRF-16-Q01LQKB,20.31,13.0,11.31,81.5,13.96,19.12,10.51,23.38,10.03,15.56,37.51,4.63,2.65,28.68,28.82,3.95,17.98,35.89,37.88,26.92,5.79,14.77,31.04,32.7,-0.05062351823116088,0.8142750978448328
tRF-16-Q2FWQ80,40.62,15.61,11.31,58.21,27.92,52.57,17.51,50.65,30.1,28.0,29.18,23.17,7.28,11.03,5.76,33.56,28.26,78.96,37.88,161.53,10.14,37.75,7.76,54.49,-0.12282422757063831,0.5674820454009684
tRF-16-R29P4PE,50.78,31.21,62.21,93.14,125.62,23.9,70.05,50.65,70.24,46.67,54.19,37.07,13.9,22.06,46.12,31.59,51.38,28.71,12.63,94.23,37.65,52.52,46.56,21.8,-0.12327245694893074,0.5660582117843089
tRF-16-RPM830D,294.5,338.11,1049.13,2363.43,432.69,57.35,2448.21,2625.98,95.33,457.32,1012.86,2015.67,1559.04,860.33,824.35,55.27,105.33,136.38,340.9,215.38,95.56,103.39,1513.32,141.68,-0.13786573331942967,0.5205972476758044
tRF-16-RPM830E,20.31,31.21,172.5,244.49,97.71,14.34,395.78,140.26,25.09,49.78,75.03,240.95,193.89,81.62,149.88,11.84,17.98,21.53,31.57,40.38,14.48,14.77,194.02,10.9,-0.1255556238503206,0.5588304354202542
tRF-16-RX6NMHD,30.47,13.0,16.97,81.5,41.87,23.9,70.05,58.44,10.03,43.55,29.18,37.07,9.93,30.88,46.12,33.56,10.28,43.07,63.13,40.38,5.79,65.65,19.4,76.29,0.11835398428160537,0.5817685530059479
tRF-16-RXSINHE,15.23,13.0,2.83,69.86,41.87,38.24,21.01,15.58,20.07,24.89,8.34,37.07,10.59,17.65,28.82,3.95,12.85,0.0,12.63,26.92,15.93,67.29,11.64,54.49,0.348197967757671,0.09543479069804113
tRF-16-S3M830E,106.63,91.03,79.18,349.28,293.12,105.15,360.75,276.62,105.36,93.33,141.72,430.94,89.33,79.41,115.29,51.33,53.95,107.67,25.25,80.77,46.33,67.29,170.73,108.99,-0.12319447764827601,0.5663058041535856
tRF-16-S4113KE,20.31,5.2,11.31,11.64,27.92,4.78,17.51,11.69,5.02,9.33,33.35,9.27,3.97,8.82,23.06,7.9,7.71,21.53,56.82,13.46,4.34,11.49,15.52,21.8,-0.0759267211853086,0.7243761257258504
tRF-16-S45J7KE,55.85,57.22,14.14,46.57,251.24,19.12,31.52,54.55,10.03,40.44,54.19,37.07,5.29,15.44,34.59,19.74,38.54,107.67,56.82,269.22,18.82,19.69,23.28,130.78,-0.04987495138990976,0.8169757495818453
tRF-16-S8V0J80,20.31,2.6,14.14,34.93,27.92,4.78,17.51,15.58,20.07,34.22,25.01,0.0,6.62,6.62,17.29,3.95,5.14,0.0,12.63,13.46,4.34,16.41,19.4,21.8,0.059505046851994564,0.7823971433624702
tRF-16-V4VH7QD,25.39,5.2,33.93,128.07,27.92,62.13,28.02,23.38,15.05,28.0,33.35,27.8,10.59,13.24,11.53,11.84,15.41,21.53,18.94,67.3,34.75,34.46,15.52,10.9,-0.0905239894117147,0.6739987285814741
tRF-16-W3FJHPB,15.23,26.01,28.28,116.43,97.71,43.01,45.53,23.38,35.12,74.66,33.35,9.27,11.25,33.09,57.65,41.46,12.85,71.78,25.25,161.53,31.85,77.14,77.61,43.59,0.10032727935505364,0.6408984044550707
tRF-16-W3FJIKB,208.18,57.22,110.29,407.49,348.95,382.35,210.15,116.88,50.17,245.77,333.45,143.65,46.32,125.74,299.77,157.93,51.38,150.73,220.96,228.84,70.95,229.76,159.09,163.48,-0.09764910916125537,0.649878667045882
tRF-16-ZSIJ7KE,50.78,23.41,33.93,69.86,69.79,62.13,21.01,15.58,15.05,43.55,4.17,0.0,5.96,11.03,63.41,21.72,38.54,64.6,25.25,94.23,5.79,13.13,19.4,54.49,-0.18618529366610403,0.38371129402388016
tRF-16-ZVEH93E,5.08,0.0,14.14,69.86,13.96,23.9,21.01,7.79,10.03,18.67,16.67,0.0,6.62,19.85,11.53,11.84,2.57,7.18,37.88,121.15,7.24,6.56,11.64,87.19,0.07864083877077813,0.7149175235661804
tRF-17-08P2B52,55.85,13.0,11.31,46.57,69.79,38.24,31.52,35.07,35.12,34.22,25.01,50.97,4.63,30.88,11.53,9.87,2.57,0.0,0.0,53.84,14.48,34.46,0.0,65.39,0.051826303658684236,0.8099400413421933
tRF-17-08Q2B52,1746.72,720.44,1337.57,3865.32,5220.26,2437.51,2556.78,1285.72,1033.58,3086.11,1950.7,1598.64,787.46,1769.19,1948.47,536.95,973.66,839.8,1761.34,1992.22,1003.41,1701.9,1664.66,2833.63,0.03078888918416526,0.8864359189210091
tRF-17-0RSSX7J,30.47,20.81,19.79,58.21,167.49,47.79,42.03,35.07,0.0,18.67,33.35,74.14,9.93,24.27,28.82,15.79,51.38,114.84,75.76,40.38,17.38,18.05,27.16,76.29,-0.06675592887340523,0.7566192255826092
tRF-17-1SS2P44,15.23,7.8,28.28,116.43,97.71,52.57,24.52,15.58,10.03,59.11,66.69,13.9,9.93,22.06,51.88,11.84,7.71,21.53,31.57,13.46,7.24,6.56,34.92,0.0,-0.24732808424916727,0.24394379908000344
tRF-17-73V2Y8K,111.71,46.82,33.93,267.78,27.92,52.57,63.04,70.13,80.28,102.66,116.71,106.58,33.75,52.94,57.65,59.22,25.69,64.6,69.44,26.92,23.17,82.06,62.09,43.59,-0.18731512531141542,0.3807799670033962
tRF-17-863IP52,314.82,119.64,226.23,465.7,753.73,301.1,266.19,237.66,120.42,320.43,412.65,301.19,92.64,136.77,311.29,159.9,156.71,122.02,233.58,484.59,141.9,452.96,197.9,414.15,0.10067446360377544,0.6397377864933913
tRF-17-8689SV2,0.0,2.6,8.48,34.93,69.79,23.9,70.05,7.79,5.02,9.33,16.67,18.53,3.31,2.21,5.76,9.87,12.85,21.53,18.94,40.38,2.9,13.13,3.88,10.9,-0.14941451608699566,0.48590914920945916
tRF-17-884U1D2,1767.03,962.32,1478.96,6950.59,4145.5,1653.68,1450.01,911.69,772.67,2000.37,1896.51,2233.46,491.67,1211.08,2444.24,592.23,719.33,1421.2,2045.43,2207.59,842.69,1084.82,1928.52,3204.19,-0.025197280766287303,0.906963557696888
tRF-17-8871K92,1482.68,608.6,797.45,2957.2,4033.83,1749.27,1201.34,1016.89,822.85,1459.06,1596.41,1413.29,324.25,672.82,1758.24,493.52,819.52,1184.33,1199.48,2261.44,826.76,1567.32,1175.74,2615.66,0.10804238564610545,0.6153040455143551
tRF-17-8R6546J,182.8,85.83,53.73,232.85,544.36,143.38,185.63,112.99,40.14,112.0,112.54,120.48,29.12,97.06,167.18,65.15,125.88,179.44,208.33,269.22,68.05,157.55,124.17,217.97,0.01143182685859613,0.9577190820100716
tRF-17-8R6Q46J,345.28,192.46,206.43,745.12,879.35,563.97,413.29,292.21,225.78,441.76,596.05,282.66,84.04,238.24,668.71,230.97,405.91,473.73,530.3,753.81,270.76,558.0,341.47,686.61,0.09153546282741631,0.6705549538891693
tRF-17-8S68L52,40.62,28.61,28.28,93.14,111.66,47.79,66.55,23.38,10.03,77.78,41.68,37.07,13.9,30.88,86.47,27.64,15.41,50.24,37.88,40.38,13.03,124.73,7.76,87.19,0.17692388641317425,0.4082198429825829
tRF-17-8SPOL52,45.7,20.81,14.14,34.93,125.62,47.79,45.53,27.27,35.12,37.33,37.51,37.07,5.29,22.06,11.53,31.59,10.28,14.36,63.13,40.38,11.58,54.16,15.52,98.09,0.1832120103051821,0.39148652990305155
tRF-17-8Y3DUV2,228.49,72.82,101.8,430.77,1046.84,219.85,206.64,144.16,110.38,211.55,279.27,254.85,60.22,90.44,230.59,78.96,213.23,215.33,119.95,242.3,104.25,252.74,194.02,326.96,0.037525540093180265,0.8617995930822189
tRF-17-8Y3HSV2,50.78,5.2,5.66,93.14,111.66,38.24,52.54,23.38,20.07,37.33,50.02,88.04,9.93,50.74,80.71,29.61,23.12,100.49,75.76,121.15,31.85,49.24,73.73,65.39,0.021460771205727584,0.9207139396392002
tRF-17-9N15WVN,35.54,2.6,11.31,128.07,13.96,71.69,17.51,19.48,10.03,31.11,8.34,41.7,8.6,11.03,11.53,25.66,10.28,7.18,0.0,53.84,1.45,14.77,11.64,21.8,-0.17582043413984813,0.41119650039635164
tRF-17-9N1EWJM,548.39,208.07,347.82,1466.96,725.81,430.15,476.33,362.34,285.99,687.53,375.13,398.5,99.26,410.31,668.71,302.04,202.95,523.98,347.22,834.58,199.81,713.91,291.02,653.92,-0.028236186386987258,0.8957992753173916
tRF-17-9Q5JK8N,20.31,13.0,2.83,23.29,111.66,19.12,14.01,15.58,15.05,9.33,25.01,27.8,5.29,15.44,11.53,19.74,15.41,35.89,6.31,26.92,4.34,19.69,19.4,21.8,-0.04245990145833608,0.8438320552032419
tRF-17-BS68BFJ,507.77,226.27,243.19,488.99,656.02,482.72,322.22,257.14,461.6,485.32,325.12,449.47,117.79,264.72,363.18,223.07,244.06,193.8,277.77,578.82,224.43,206.79,403.55,555.83,-0.004246964171932176,0.9842865908297603
tRF-17-D9W1X6K,25.39,7.8,8.48,23.29,83.75,23.9,21.01,19.48,15.05,9.33,8.34,4.63,6.62,6.62,40.35,11.84,2.57,28.71,44.19,94.23,11.58,50.88,3.88,65.39,0.15881838692993,0.4585496423848675
tRF-17-F8DHXY4,30.47,7.8,11.31,23.29,13.96,14.34,14.01,23.38,20.07,28.0,29.18,4.63,4.63,6.62,5.76,1.97,5.14,35.89,44.19,40.38,8.69,0.0,7.76,0.0,-0.42832051996490617,0.0367825514431976
tRF-17-H7PU4HJ,218.34,70.22,42.42,232.85,362.91,119.49,126.09,109.09,65.23,96.44,116.71,208.52,19.19,70.59,103.76,49.35,115.61,315.82,107.32,161.53,70.95,193.66,81.49,130.78,-0.04804078774198176,0.8236014663104358
tRF-17-H9R8B7J,203.11,80.63,104.63,128.07,544.36,186.4,241.67,120.78,180.62,171.11,175.06,217.79,46.32,92.65,161.41,65.15,128.45,179.44,126.26,215.38,69.5,214.99,147.45,217.97,0.03994745528846427,0.8529717776880307
tRF-17-HR0VX6J,203.11,62.42,110.29,232.85,711.85,310.66,336.23,159.74,120.42,245.77,241.75,240.95,101.91,125.74,167.18,118.45,228.64,200.98,239.9,444.21,149.14,303.62,174.61,457.74,0.17100412708236443,0.42432829412912343
tRF-17-HRF8X7J,40.62,18.21,22.62,58.21,139.58,19.12,45.53,19.48,15.05,34.22,29.18,27.8,5.29,17.65,23.06,11.84,51.38,43.07,44.19,0.0,8.69,21.34,31.04,10.9,-0.16169134864651266,0.45035452644731
tRF-17-HRH7MSJ,15.23,7.8,0.0,23.29,41.87,33.46,56.04,3.9,15.05,9.33,50.02,32.44,5.29,4.41,11.53,9.87,25.69,14.36,6.31,0.0,18.82,22.98,3.88,0.0,-0.10563955165727024,0.6232305228600947
tRF-17-HSQSD2J,172.64,93.63,130.08,582.13,195.41,86.03,136.6,85.71,65.23,105.77,145.89,208.52,14.56,48.53,201.77,37.51,74.5,78.96,164.14,309.6,40.54,60.72,85.37,174.38,-0.20102444564969227,0.346241005380641
tRF-17-HSRVK7J,147.25,59.82,73.52,163.0,376.86,172.06,115.58,85.71,95.33,155.55,150.05,92.67,37.72,101.47,126.82,61.2,87.35,114.84,126.26,282.68,68.05,113.24,62.09,152.58,-0.12097405209540175,0.5733760722873913
tRF-17-I958M8N,213.26,166.46,237.54,605.41,390.82,449.27,129.59,89.61,130.45,307.99,208.41,180.72,39.04,103.68,392.0,130.29,285.16,437.84,315.65,955.73,130.31,131.29,302.66,795.6,0.07295258972167218,0.7347859375203538
tRF-17-KS8WP92,81.24,31.21,53.73,58.21,181.45,66.91,28.02,31.17,30.1,52.89,83.36,92.67,12.57,35.3,74.94,39.48,118.18,114.84,75.76,94.23,30.41,80.42,27.16,65.39,-0.15930235439722987,0.45716370752676583
tRF-17-KSP1852,203.11,78.03,107.46,291.06,321.03,129.04,178.62,233.77,60.21,93.33,229.25,185.35,37.06,57.36,207.53,43.43,120.74,165.09,82.07,215.38,72.4,195.3,143.57,228.87,0.08249793714891193,0.7015457177967368
tRF-17-KSPM852,589.01,221.07,345.0,1175.9,1116.63,731.25,514.86,389.61,275.95,659.53,725.26,783.1,168.08,388.25,812.83,317.83,382.79,502.44,523.98,538.44,295.38,912.49,488.92,1002.67,0.18252846535220374,0.3932865041202326
tRF-17-MBQ4NKJ,162.49,137.85,45.25,163.0,237.28,95.59,59.54,120.78,70.24,112.0,183.4,115.84,27.79,48.53,172.94,49.35,87.35,258.4,31.57,282.68,63.71,85.34,116.41,108.99,-0.1602486741593391,0.45446007067968097
tRF-17-MMUKLYK,30.47,18.21,25.45,46.57,125.62,9.56,21.01,7.79,45.16,68.44,29.18,69.51,11.25,11.03,23.06,7.9,23.12,50.24,18.94,107.69,10.14,29.54,19.4,43.59,-0.14667921275447798,0.49401829296707456
tRF-17-MMUKLYL,30.47,23.41,11.31,46.57,13.96,28.68,21.01,11.69,35.12,46.67,12.5,18.53,3.31,11.03,17.29,15.79,7.71,50.24,12.63,26.92,11.58,13.13,23.28,43.59,-0.007213844610828406,0.9733124082858706
tRF-17-MQ6KM8N,101.55,52.02,62.21,279.42,293.12,133.82,84.06,97.4,30.1,112.0,116.71,106.58,17.2,44.12,115.29,61.2,115.61,244.04,69.44,282.68,47.78,44.31,54.32,261.57,-0.06608568099595927,0.7589919700527391
tRF-17-NBRRX35,20.31,5.2,2.83,58.21,41.87,19.12,3.5,19.48,5.02,12.44,16.67,9.27,3.97,0.0,5.76,11.84,2.57,35.89,6.31,53.84,5.79,3.28,19.4,21.8,-0.08625098152350966,0.6886165984456609
tRF-17-NMEH623,15.23,15.61,16.97,23.29,13.96,43.01,24.52,7.79,10.03,31.11,29.18,9.27,3.31,22.06,51.88,5.92,2.57,21.53,37.88,26.92,8.69,18.05,15.52,65.39,0.16085907199704555,0.45272061969232874
tRF-17-NS5J7KQ,15.23,10.4,11.31,93.14,27.92,14.34,7.0,0.0,15.05,24.89,25.01,18.53,3.31,13.24,23.06,7.9,15.41,7.18,12.63,80.77,8.69,3.28,11.64,54.49,-0.059682048214096305,0.7817651047904425
tRF-17-PSJ9852,30.47,2.6,33.93,69.86,181.45,28.68,28.02,19.48,20.07,65.33,45.85,41.7,6.62,13.24,23.06,13.82,30.83,28.71,44.19,40.38,17.38,27.9,3.88,43.59,-0.12075192091746574,0.5740855166959886
tRF-17-PSQP4P5,142.17,59.82,76.35,139.71,125.62,114.71,126.09,85.71,20.07,118.22,112.54,106.58,31.1,86.03,167.18,92.78,102.76,50.24,69.44,228.84,55.02,132.94,65.97,43.59,-0.21479986507608145,0.3134770475295414
tRF-17-Q2FWQ8M,96.48,20.81,5.66,128.07,41.87,38.24,38.53,38.96,75.26,28.0,29.18,88.04,8.6,30.88,23.06,41.46,33.4,28.71,18.94,67.3,18.82,26.26,15.52,65.39,-0.17463048464957756,0.41441987373889777
tRF-17-R29P4PP,30.47,23.41,11.31,81.5,97.71,9.56,35.02,19.48,50.17,43.55,25.01,37.07,17.87,22.06,5.76,11.84,7.71,14.36,12.63,67.3,13.03,26.26,27.16,43.59,-0.04036101454450787,0.8514660460881328
tRF-17-RPM830K,30.47,39.01,178.15,640.34,41.87,0.0,514.86,210.39,0.0,52.89,170.89,454.11,269.32,198.54,172.94,9.87,7.71,7.18,75.76,13.46,13.03,27.9,310.43,10.9,-0.11944130887746904,0.578279206980579
tRF-17-RX6NMH3,66.01,13.0,14.14,93.14,27.92,43.01,35.02,50.65,35.12,80.89,8.34,37.07,13.23,28.68,23.06,23.69,12.85,28.71,12.63,94.23,28.96,49.24,11.64,21.8,-0.1375726978064871,0.5214925633358054
tRF-17-RXSINHQ,35.54,13.0,19.79,128.07,41.87,66.91,38.53,15.58,35.12,21.78,33.35,18.53,3.31,6.62,11.53,13.82,12.85,28.71,31.57,26.92,10.14,65.65,34.92,0.0,-0.017455314954633233,0.9354784666565632
tRF-17-S3M830P,15.23,10.4,11.31,58.21,13.96,19.12,14.01,7.79,0.0,6.22,12.5,23.17,3.31,11.03,17.29,1.97,12.85,21.53,0.0,26.92,1.45,1.64,15.52,0.0,-0.3025212996784237,0.1507602153716953
tRF-17-S5S8R6J,25.39,18.21,11.31,69.86,139.58,43.01,42.03,38.96,5.02,15.56,16.67,27.8,9.93,26.47,28.82,11.84,20.55,71.78,12.63,40.38,21.72,32.82,19.4,21.8,-0.06077320974060514,0.7778717455665622
tRF-17-S8V0J6L,15.23,15.61,31.11,58.21,27.92,23.9,35.02,3.9,35.12,43.55,8.34,9.27,7.94,13.24,23.06,7.9,15.41,21.53,6.31,67.3,10.14,39.39,19.4,54.49,0.14776414494966916,0.49079384603278153
tRF-17-S8V0J8L,101.55,28.61,53.73,325.99,153.54,152.94,98.07,50.65,20.07,177.33,212.58,106.58,25.81,70.59,126.82,37.51,10.28,64.6,126.26,107.69,24.61,75.49,108.65,76.29,-0.15918172722617074,0.4575089420144676
tRF-17-W3FJHP1,45.7,23.41,16.97,58.21,41.87,76.47,56.04,35.07,25.09,59.11,33.35,37.07,17.87,24.27,23.06,33.56,23.12,0.0,31.57,26.92,18.82,77.14,54.32,87.19,0.48333795202869656,0.016724819774407897
tRF-17-W3FJIK1,137.1,13.0,93.32,477.34,404.78,195.96,189.13,93.51,40.14,192.88,183.4,125.11,46.98,130.15,172.94,98.7,87.35,86.13,176.77,40.38,78.19,216.64,143.57,207.07,0.08337319267405705,0.6985231418004878
tRF-17-W96KM8N,55.85,36.41,42.42,69.86,83.75,19.12,10.51,35.07,40.14,77.78,41.68,41.7,5.96,22.06,74.94,19.74,56.52,114.84,31.57,188.45,18.82,1.64,34.92,152.58,-0.04146472955841946,0.8474499983304151
tRF-17-W9RKM8N,25.39,49.42,62.21,104.78,195.41,57.35,31.52,35.07,55.19,77.78,70.86,50.97,8.6,19.85,40.35,13.82,84.78,172.27,37.88,201.91,36.2,21.34,46.56,207.07,0.05176451603057831,0.8101626042057677
tRF-17-WS72092,1162.78,444.75,882.29,2247.01,3419.69,1572.43,1204.84,825.98,807.79,1686.16,1592.24,1306.71,447.99,840.48,1533.42,534.98,1158.64,1414.02,946.96,2140.29,771.74,1998.95,1070.97,2070.73,0.12859951985382503,0.5492598183754203
tRF-17-XSXMSLN,20.31,7.8,22.62,11.64,55.83,43.01,10.51,7.79,30.1,49.78,25.01,4.63,5.96,4.41,11.53,15.79,5.14,0.0,18.94,13.46,2.9,13.13,15.52,21.8,-0.08172559191319957,0.7042165612641564
