"","Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq","Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq"
"tRF-16-08Q2B5D",806.05176747537,552.96254957534,745.947772501169,1037.64196738468,1155.36263609989,773.985450172603,684.873851189899,734.910894394794,1019.40462085431,834.599255730451,748.939628265865,701.286597571069,772.891495881325,1095.43202597722,493.884008754186,703.457157437705,683.402721255696,940.907433922042,870.125621441767,648.909558915371,689.60650440252,764.670694863856,1538.2926294807
"tRF-16-3JWB61B",63.0431549980736,46.6786567823339,129.39910339306,77.1220381164291,61.0092481108854,80.916660699863,102.002488475091,85.2070602196863,94.7687712854506,58.0590786595097,58.651898599134,90.589360042588,115.629436391694,31.9057871643851,21.682712579452,48.7008801303027,28.475113385654,45.527779060744,37.4247579114738,36.2519306656632,81.5137712059717,59.1240227987518,104.155230121089
"tRF-16-3KMB01B",157.607887495184,287.25327250667,289.245054643311,308.488152465716,331.737786602939,573.452856264247,218.576761018053,165.088679175642,394.442993998903,293.924085713768,221.072540873659,351.424241544522,343.845429270038,244.611034926952,72.2757085981735,154.219453745958,113.900453542616,333.870379778789,327.466631725396,212.07379439413,379.854173819828,260.145700314508,320.477631141812
"tRF-16-3KXR3RB",126.086309996147,61.0413204076674,121.787391428762,252.39939747195,102.953106187119,98.5072391128767,174.861408814442,58.5798539010343,87.0848168569006,76.2025407406064,72.186952122011,40.609023467367,63.9004780059363,79.7644679109628,43.3654251589041,110.929782519023,35.5938917320675,151.759263535813,159.055221123764,72.5038613313263,104.337627143644,63.0656243186685,136.20299323527
"tRF-16-3VLIE1B",27.0184949991744,14.3626636253335,60.8936957143812,84.1331324906499,30.5046240554427,87.9528920650685,53.429874915524,26.627206318652,38.4197721427502,39.9156165784129,58.651898599134,20.3045117336835,18.2572794302675,37.2234183584493,9.63676114642313,62.22890238872,28.475113385654,37.9398158839533,56.1371368672108,19.9385618661147,63.5807415406579,39.4160151991678,32.0477631141812
"tRF-16-489B3RB",90.061649997248,86.1759817520011,159.845951250251,161.255170607079,167.775432304935,172.387668447534,160.289624746572,122.485149065799,153.679088571001,108.860772486581,126.327166213519,90.589360042588,82.1577574362038,143.576042239733,72.2757085981735,100.107364712289,185.088237006751,83.4675949446973,74.8495158229477,119.631371196688,218.456906832004,102.481639517836,176.262697127996
"tRF-16-884U1DD",589.903807481974,815.081160737677,1080.86309893027,378.599096207925,358.429332651452,348.293452577671,276.863897289533,197.041326758024,437.985402427353,468.101321692297,681.264360651479,263.958652537886,298.202230694369,685.97442403428,212.008745221309,349.022974267169,348.820138974262,584.273164612881,542.658989716371,280.95246265889,313.012881430931,650.364250786269,809.206018633074
"tRF-16-8871K9D",387.265094988166,190.305293035669,327.303614464799,427.67675682747,324.111630589079,292.003601656028,242.863067797836,260.946621922789,286.867631999202,290.295393297548,243.630963411787,195.235689746957,282.987831169146,372.234183584493,171.052510349011,281.382862975082,256.276020470886,303.518527071627,336.822821203265,226.574566660395,249.432139890273,338.977730712843,608.907499169442
"tRF-16-8Y3DUVD",36.0246599988992,21.5439954380003,53.2819837500835,77.1220381164291,30.5046240554427,66.8441979694521,34.0008294916971,0,53.7876809998504,47.1730014108516,54.1402140915083,32.7995958774887,39.5574387655796,31.9057871643851,31.3194737258752,75.7569246471375,28.475113385654,68.291668591116,46.7809473893423,39.8771237322295,68.4715678130162,31.5328121593343,48.0716446712717
"tRF-16-9N1EWJ0",499.842157484726,452.423904198006,898.182011787122,273.432680594612,343.17702062373,386.992725086302,587.728624070764,319.526475823823,601.909763569754,464.472629276077,392.516552163435,362.357440170352,575.104302053427,494.539701047969,520.385101906849,208.331542779628,355.938917320675,500.805569668184,467.809473893423,222.949373593828,617.874385741265,445.400971750597,336.501512698902
