Sample_ID,Time_taken,Treatment,Sex,Place_taken,Sample_num
Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,24h,CNT,F,T,S29
Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,24h,CNT,F,T,S30
Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,24h,CNT,M,T,S41
Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,24h,CNT,M,T,S42
Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,24h,LPS,F,T,S31
Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,24h,LPS,M,T,S43
Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,24h,LPS,M,T,S44
Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,24h,LPS,F,T,S32
Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,4h,CNT,F,T,S25
Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,4h,CNT,F,T,S26
Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,4h,CNT,M,T,S37
Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,4h,CNT,M,T,S38
Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,4h,LPS,F,T,S27
Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,4h,LPS,F,T,S28
Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,4h,LPS,M,T,S39
Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,4h,LPS,M,T,S40
Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,7d,CNT,F,T,S33
Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,7d,CNT,F,T,S34
Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,7d,CNT,M,T,S45
Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,7d,CNT,M,T,S46
Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,7d,LPS,F,T,S35
Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,7d,LPS,F,T,S36
Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,7d,LPS,M,T,S47
Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,7d,LPS,M,T,S48
