"","Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq","Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq"
"tRF-16-08Q2B5D",1084.16734170295,1235.11992927289,672.754612997607,949.418823060321,730.132849127644,1491.35908721478,888.614724613649,742.568578295071,1062.34764226531,783.121427764061,1081.95613113343,938.686569781167,1097.11433809978,930.261805428759,610.813602109921,855.151768892499,809.240666142956,1022.34207028823,881.538076586036,923.088011932322,972.465304537287,1119.34056641324,1110.54052574398,959.00532045298
"tRF-16-3KMB01B",255.098198047753,360.752850629211,226.236064547868,294.067777054082,238.08679862858,332.835504442784,328.93473231555,207.110964014271,223.65213521375,177.683013022098,358.43945448592,262.20295245284,145.400695410814,181.219832226382,357.390937404741,207.175944010039,160.810645195075,343.878696369676,296.089124960195,253.849203281388,276.18014648859,259.941648124402,335.744810108645,211.545291276393
"tRF-16-3KXR3RB",105.040434490251,103.945736621976,130.978774211923,109.225174334373,103.170946072384,153.6163866659,147.2842084995,141.441633960966,67.0956405641251,118.455342014732,159.306424215965,110.125240030193,92.5277152614269,72.4879328905526,129.960340874451,96.9759737919329,82.9990426813288,116.175235260026,100.939474418248,84.6164010937962,77.797224362983,153.843016236891,94.6972541332076,218.596800985606
"tRF-16-489B3RB",60.0231054230007,269.036024198056,89.3037096899478,117.627110821633,79.3622662095265,179.219117776884,108.0084195663,75.7723039076603,145.373887888938,98.7127850122766,126.117585837639,141.589594324534,118.96420533612,102.691238261616,149.454392005619,83.7519773657603,103.748803351661,111.528225849625,181.691053952847,69.2316008949241,105.026252890027,132.623289859389,154.959143127067,190.390762148753
"tRF-16-884U1DD",195.075092624752,275.150479293466,375.075580697781,504.116189235568,178.565098971435,166.417752221392,270.02104891575,242.471372504513,458.486877188188,250.072388697767,398.266060539911,419.524723924544,185.055430522854,211.423137597445,253.42266470518,255.663930906005,129.686004189576,157.998319953635,477.780178913042,369.235204772929,245.061256743396,371.345211606288,430.442064241853,373.730014588294
"tRF-16-8871K9D",438.918958405692,525.843138205291,410.79706457376,453.704570312012,353.162084632393,646.46896055233,436.943151881849,429.376388810075,603.860765077126,408.01284471741,418.179363566907,393.30442867926,555.166291568561,604.066107421272,578.323516891308,379.087897550283,487.619375752807,557.641129248123,504.697372091242,630.776808153753,462.893484959749,360.735348417537,594.010048653757,514.760208772555
"tRF-16-9N1EWJ0",742.785929609633,611.445509541036,386.982741989774,529.321998697347,269.83170511239,499.253256664176,422.214731031899,489.994231936203,793.965080008813,427.755401719865,670.414535242184,1022.59151456608,806.312947278148,561.781479901783,467.857227148024,833.111774848878,482.431935585224,664.522345687346,592.178249920391,600.007207756009,474.563068614196,498.663569871301,542.357000944734,1085.93249521882
"tRF-16-JMRPFQD",93.7861022234385,48.9156407632829,47.6286451679722,84.0193648725947,43.6492464152396,51.2054622219667,63.8231570164499,95.9782516163697,100.643460846188,19.7425570024553,73.0154444323171,131.10147622642,39.6547351120401,54.3659496679145,25.9920681748902,61.7119833221391,62.2492820109966,69.7051411560153,107.668772712798,15.384800198872,31.1188897451932,58.354247538131,77.4795715635335,63.4635873829178
"tRF-16-MBQ4NKD",769.046038232196,2066.6858222487,684.6617742896,1419.92726634685,742.037189059073,1305.73928666015,967.166302480049,1065.86374163442,1554.38233973556,1000.28955479107,1135.05827253875,1179.91328603778,1387.9157289214,1183.96957054569,1026.68669290816,705.279809395876,1514.73252893425,1408.04385135151,1581.38509921923,1446.17121869397,984.134888191734,1453.5512568589,1101.93168445914,1283.37476707678
"tRF-16-NS5J7KE",52.5202172451256,79.4879162403347,77.3965483979548,100.823237847114,43.6492464152396,51.2054622219667,44.1852625498499,35.3604084902415,156.556494649625,85.5510803439731,92.9287474593126,110.125240030193,92.5277152614269,78.5285939647653,77.9762045246707,22.0399940436211,248.997128043986,162.645329364036,53.8343863563992,223.079602883644,54.4580570540881,74.2690423212576,34.4353651393482,148.081703893475
"tRF-16-PSQP4PE",345.132856182254,531.957593300701,297.679032299826,327.67552300312,440.460577462872,384.040966664751,353.4821003988,469.788284227494,413.756450145438,335.62346904174,384.990525188581,524.40590490568,383.329106083054,271.829748339572,402.877056710799,383.495896359007,606.930499607217,715.639449201758,349.923511316594,223.079602883644,525.131264450135,514.578364654428,421.833222957016,246.802839822458
"tRF-16-R29P4PE",86.2832140455634,195.662563053132,59.5358064599652,84.0193648725947,35.7130197942869,70.4075105552043,54.0042097831499,70.7208169804829,44.73042704275,59.227671007366,92.9287474593126,110.125240030193,52.8729801493868,72.4879328905526,116.964306787006,74.9359797483118,82.9990426813288,92.9401882080205,40.3757897672994,38.4620004971801,124.475558980773,95.4887686987598,43.0442064241853,56.4120776737047
"tRF-16-RPM830D",1620.62384642102,476.927497442008,464.379290387729,218.450348668746,257.927365180961,416.04438055348,613.684202081249,1176.99645403232,234.834741974438,447.497958722321,245.597403999612,1054.05586886042,304.019635858974,543.659496679145,519.841363497805,189.543948775142,363.120811730813,413.583837525691,316.277019843845,530.775606861085,408.43542790566,376.650143200664,232.4387146906,260.905859240884
"tRF-16-RPM830E",202.577980802627,85.602371335745,107.164451627937,25.2058094617784,63.4898129676212,108.811607221679,54.0042097831499,207.110964014271,67.0956405641251,52.6468186732142,39.8266060539911,89.1490038339656,52.8729801493868,42.284627519489,51.9841363497805,52.8959857046907,51.8744016758305,65.0581317456143,40.3757897672994,92.3088011932322,50.5681958359389,68.9641107268821,60.2618889938594,21.1545291276393
