,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-07QSNHD,0.0,0.0,4.66,0.0,2.83,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0,5.05,0.0,0.0,0.0,0.0,1.99,2.21,0.0,4.49,0.0,11.84,0.0,5.55,5.14,14.36,0.0,0.0,0.0,0.0,0.0,6.84,2.9,3.28,1.84,4.27,3.88,0.0,10.76,0.0
tRF-16-08P2B5D,5.08,2.6,4.66,0.0,0.0,0.0,0.0,0.0,55.83,0.0,14.34,17.51,0.0,8.05,3.9,4.77,0.0,9.33,0.0,20.21,0.0,4.63,0.0,4.64,2.65,2.21,0.0,8.97,5.76,3.95,8.22,0.0,0.0,7.18,0.0,0.0,18.94,0.0,0.0,0.0,4.34,4.92,0.0,8.54,0.0,21.8,0.0,0.0
tRF-16-08Q2B5D,863.2,465.55,673.06,1764.98,435.49,1140.97,460.84,1230.0,2065.77,465.91,1448.17,770.54,1635.12,728.71,549.35,701.68,692.4,1238.18,1551.83,601.17,958.68,769.2,1535.35,829.97,297.12,560.32,1114.53,690.95,1187.53,404.69,772.64,1076.32,667.95,689.07,1003.85,1238.31,782.82,1251.87,988.41,821.09,518.36,694.22,459.37,900.85,752.78,2092.53,1387.65,916.76
tRF-16-08R959D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0
tRF-16-097JPE0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-0P5830E,5.08,5.2,51.24,0.0,14.14,34.93,28.55,10.88,13.96,27.85,0.0,38.53,35.09,16.1,27.27,47.73,25.09,12.44,0.0,25.26,12.5,60.24,37.68,32.46,14.56,15.44,94.0,44.87,40.35,3.95,57.54,27.74,15.41,0.0,19.3,11.26,18.94,13.46,7.55,6.84,4.34,1.64,23.89,42.69,38.8,43.59,10.76,6.74
tRF-16-0RSSX7D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43,8.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46,0.0,0.0,2.9,0.0,0.0,4.27,0.0,0.0,0.0,0.0
tRF-16-0UQ2B5D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54,0.0,0.0,0.0,0.0
tRF-16-113KYUE,0.0,0.0,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-11M3WEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
